Algorithm;Hyperparameter (C);Values
Faure_50_10.txt_G_0.000464; 0.000464159; 0.140578, 0.179396, 0.136405, 0.129047, 0.148642, 0.129039, 0.137902, 0.116709, 0.217337, 0.190305, 0.0851376, 0.0968238, 0.176603, 0.0917156, 0.181268, 0.177314, 0.161968, 0.170559, 0.178388, 0.127009, 0.13776, 0.188415, 0.14636, 0.150371, 0.165892, 0.137067, 0.134478, 0.179992, 0.129291, 0.162055, 0.189728, 0.0896563, 0.115439, 0.118295, 0.152398, 0.167543, 0.124626, 0.147394, 0.188586, 0.190459, 0.148588, 0.113381, 0.17768, 0.23516, 0.167806, 0.162851, 0.231219, 0.118086, 0.16273, 0.123889, 0.129002, 0.145331, 0.199245, 0.0955721, 0.182246, 0.0828286, 0.148534, 0.155054, 0.119627, 0.111305, 0.138594, 0.0932163, 0.145572, 0.147086, 0.0897206, 0.130925, 0.188845, 0.184717, 0.165369, 0.201409, 0.147234, 0.200972, 0.19774, 0.176208, 0.165273, 0.133406, 0.165605, 0.162121, 0.0952867, 0.204752, 0.167476, 0.136113, 0.0915427, 0.154402, 0.137704, 0.175924, 0.163449, 0.141556, 0.132456, 0.212028, 0.204485, 0.169229, 0.161048, 0.288989, 0.206609, 0.127555, 0.146145, 0.176606, 0.251623, 0.175914, 
Faure_100_10.txt_G_0.000215; 0.000215443; 0.044411, 0.0410761, 0.0451015, 0.0478326, 0.0460509, 0.05406, 0.0491063, 0.0470907, 0.0437852, 0.0428673, 0.0374702, 0.0417489, 0.0490711, 0.0454288, 0.0458634, 0.0510251, 0.0450727, 0.0419986, 0.0402368, 0.0433973, 0.0442601, 0.0377754, 0.0499696, 0.0573068, 0.0561844, 0.0449712, 0.0508756, 0.0430365, 0.0374545, 0.0445336, 0.0470379, 0.0443198, 0.0379455, 0.0457514, 0.060654, 0.039146, 0.0494667, 0.0520075, 0.0462343, 0.0517586, 0.0501507, 0.0579676, 0.0443372, 0.0370251, 0.0480217, 0.0514021, 0.0457133, 0.0532635, 0.0623915, 0.0429914, 0.0482014, 0.0377341, 0.0420936, 0.0492838, 0.0386632, 0.040961, 0.0551882, 0.0409936, 0.046867, 0.0486916, 0.0449691, 0.0501075, 0.0463702, 0.0448089, 0.0501256, 0.0439834, 0.0755742, 0.0443736, 0.0642447, 0.0487741, 0.04994, 0.04852, 0.0525486, 0.0459951, 0.0443298, 0.0449675, 0.0521697, 0.0416081, 0.0400819, 0.0565237, 0.0672547, 0.0445831, 0.0477401, 0.0504284, 0.0522096, 0.0417733, 0.0490252, 0.0448603, 0.0458531, 0.045844, 0.0532193, 0.0441489, 0.0457777, 0.045054, 0.0488777, 0.0435411, 0.0437082, 0.0489607, 0.0514761, 0.051929, 
Faure_121_8.txt_G_0.000022; 2.15443e-05; 0.0513453, 0.0402807, 0.0412507, 0.04475, 0.0747497, 0.038045, 0.0594452, 0.0424049, 0.0490689, 0.0453301, 0.0491696, 0.0985496, 0.0554315, 0.0870778, 0.0543138, 0.042401, 0.0983302, 0.0540695, 0.0763682, 0.0557451, 0.0953153, 0.0388324, 0.0619455, 0.0506245, 0.0843492, 0.0699798, 0.0986337, 0.0352006, 0.0406209, 0.0769427, 0.10072, 0.0364157, 0.0494957, 0.101841, 0.0440791, 0.068003, 0.108145, 0.0928187, 0.0855198, 0.032287, 0.0456263, 0.0703667, 0.0486999, 0.0823333, 0.062349, 0.0906231, 0.0697685, 0.0958802, 0.0734197, 0.100911, 0.094952, 0.0425661, 0.0965246, 0.0735015, 0.0865743, 0.0596636, 0.0946507, 0.103999, 0.0875474, 0.0830343, 0.115665, 0.105637, 0.109774, 0.0443816, 0.0586729, 0.0435258, 0.0604141, 0.0939142, 0.0498859, 0.0488415, 0.0600324, 0.0489933, 0.106, 0.0920528, 0.0870745, 0.0421874, 0.0763218, 0.0656133, 0.0799001, 0.111672, 0.127719, 0.0967105, 0.0423955, 0.100391, 0.0928339, 0.0974689, 0.043238, 0.0887933, 0.0884437, 0.0571741, 0.0897404, 0.110379, 0.11014, 0.0805083, 0.0894442, 0.108267, 0.106339, 0.112388, 0.106502, 0.121777, 
Faure_121_9.txt_G_0.000215; 0.000215443; 0.0337172, 0.0595127, 0.0314048, 0.0407932, 0.0327404, 0.0321614, 0.0625954, 0.0303332, 0.0519359, 0.0354643, 0.0621945, 0.0408211, 0.0631441, 0.0348876, 0.0469736, 0.0776713, 0.0339484, 0.0543251, 0.0510082, 0.0597662, 0.0309273, 0.0494608, 0.035709, 0.0561113, 0.0308236, 0.0324758, 0.0311228, 0.0462928, 0.0319353, 0.0719312, 0.0307569, 0.0509954, 0.0413355, 0.0941766, 0.031218, 0.032746, 0.0741465, 0.0483437, 0.0465064, 0.0762308, 0.0341094, 0.0615708, 0.0647192, 0.0777189, 0.0791062, 0.0376285, 0.0343946, 0.0420625, 0.0294887, 0.0918145, 0.0355381, 0.0465182, 0.0362439, 0.0317382, 0.0310444, 0.0920486, 0.0648097, 0.103762, 0.0753659, 0.102536, 0.0385309, 0.0334074, 0.081727, 0.0346467, 0.0875037, 0.0554683, 0.0699193, 0.133963, 0.0410062, 0.032249, 0.113359, 0.0470717, 0.0975875, 0.0340678, 0.0515868, 0.034204, 0.0359664, 0.0877206, 0.03678, 0.0764316, 0.0300834, 0.0652543, 0.0784014, 0.0631137, 0.0423912, 0.0673633, 0.0824167, 0.0312637, 0.0719699, 0.0747027, 0.0391646, 0.0560875, 0.0677665, 0.0498737, 0.0327205, 0.0383782, 0.110279, 0.121657, 0.0370592, 0.0366435, 
Faure_121_10.txt_G_0.000046; 4.64159e-05; 0.0418654, 0.0434763, 0.0578625, 0.0378124, 0.0343476, 0.0330434, 0.0469919, 0.0355786, 0.0666518, 0.0517891, 0.038362, 0.0344475, 0.0439232, 0.0937547, 0.0334536, 0.0391828, 0.0336401, 0.0463811, 0.0847671, 0.0562421, 0.0634575, 0.0324702, 0.0479927, 0.0316455, 0.0434746, 0.0521616, 0.033006, 0.0329722, 0.0386728, 0.0315037, 0.0404889, 0.0513457, 0.0536025, 0.0349354, 0.0336122, 0.0439817, 0.0601096, 0.0366567, 0.0691597, 0.0356915, 0.0629736, 0.0354932, 0.0409871, 0.0610521, 0.0377434, 0.0426607, 0.033301, 0.0446144, 0.101137, 0.0355904, 0.0702546, 0.0332141, 0.0547384, 0.0514358, 0.0377699, 0.0431781, 0.0332476, 0.03342, 0.0416944, 0.0817187, 0.0369054, 0.0317922, 0.0325832, 0.0451121, 0.0435606, 0.0685718, 0.0428196, 0.037414, 0.0345419, 0.0340815, 0.0382465, 0.0377065, 0.0396132, 0.0451996, 0.0381097, 0.0289615, 0.0411728, 0.0345058, 0.0383059, 0.0475598, 0.0361571, 0.0546031, 0.0342382, 0.0382491, 0.0344781, 0.0363799, 0.0560887, 0.050123, 0.0388907, 0.0359077, 0.0344233, 0.0612835, 0.048252, 0.0375467, 0.0715491, 0.0333629, 0.0344293, 0.0349658, 0.0359977, 0.0351203, 
Faure_121_11.txt_G_0.000100; 0.0001; 0.031776, 0.0551637, 0.0303811, 0.0510583, 0.0318051, 0.03775, 0.0353738, 0.0513706, 0.0342368, 0.0374546, 0.0355914, 0.0501144, 0.0313131, 0.0296645, 0.0323784, 0.0330541, 0.035645, 0.0350987, 0.03759, 0.0309143, 0.0359229, 0.0345062, 0.0382662, 0.0337279, 0.0419527, 0.0298234, 0.034974, 0.0334668, 0.0343166, 0.0293447, 0.0335221, 0.0334896, 0.036784, 0.0346795, 0.0328265, 0.0335558, 0.0359374, 0.0360272, 0.0344702, 0.038666, 0.0404418, 0.0334476, 0.0399154, 0.0426934, 0.0297697, 0.0389144, 0.0681995, 0.0362665, 0.0383212, 0.03722, 0.0390944, 0.0544479, 0.0312431, 0.0313342, 0.0299719, 0.034265, 0.053928, 0.0391923, 0.0454741, 0.0357969, 0.0359302, 0.0349457, 0.0342494, 0.0848155, 0.0373762, 0.0402515, 0.0396035, 0.032349, 0.0534108, 0.0354185, 0.0396075, 0.0377763, 0.0352121, 0.031266, 0.0333167, 0.0394099, 0.0422495, 0.0338437, 0.0310788, 0.0559812, 0.0362575, 0.0319221, 0.0342795, 0.0349234, 0.0378943, 0.0324335, 0.0374561, 0.0378398, 0.03188, 0.0307008, 0.0320551, 0.0355899, 0.0360586, 0.0358601, 0.041593, 0.0390604, 0.0370548, 0.0316748, 0.0305279, 0.0364916, 
Faure_169_12.txt_G_0.000046; 4.64159e-05; 0.0271708, 0.0299394, 0.0308756, 0.0282006, 0.0274228, 0.0300723, 0.0260881, 0.0360874, 0.0270047, 0.030163, 0.0266994, 0.0308206, 0.023342, 0.0301605, 0.0283866, 0.0295571, 0.0287617, 0.0265667, 0.0289854, 0.0311033, 0.0290114, 0.02574, 0.0285118, 0.0324999, 0.0284468, 0.0295714, 0.0308622, 0.0259064, 0.0289722, 0.0305565, 0.0276014, 0.04213, 0.0310919, 0.030961, 0.0279853, 0.030396, 0.0345133, 0.0326555, 0.0275919, 0.0269762, 0.0280683, 0.027433, 0.0306257, 0.0271034, 0.0337922, 0.0288592, 0.0327444, 0.0341494, 0.0272861, 0.02991, 0.0283702, 0.0320321, 0.0300285, 0.0284139, 0.0343277, 0.0274578, 0.0283863, 0.0230631, 0.0232512, 0.0439324, 0.0313487, 0.0281068, 0.028045, 0.0279344, 0.0312639, 0.0267137, 0.0261535, 0.0293567, 0.0275778, 0.0270669, 0.0295745, 0.0283143, 0.032724, 0.0313697, 0.0312032, 0.0276843, 0.0268906, 0.0268944, 0.0323259, 0.0271559, 0.0262, 0.0320215, 0.0282103, 0.0281459, 0.0287651, 0.0254606, 0.0349485, 0.03223, 0.0454227, 0.0333791, 0.0270158, 0.0291614, 0.0268819, 0.0284791, 0.0289386, 0.0276523, 0.0268247, 0.0282232, 0.031885, 0.0310369, 
Faure_343_7.txt_G_0.000022; 2.15443e-05; 0.0572558, 0.0565467, 0.0358053, 0.065461, 0.0709319, 0.0724741, 0.050753, 0.0458814, 0.0550258, 0.0718155, 0.0668072, 0.0577968, 0.0651053, 0.0556241, 0.0729368, 0.052412, 0.0609305, 0.0614148, 0.061207, 0.0413055, 0.0852116, 0.0763934, 0.0603756, 0.0514184, 0.0635686, 0.0511976, 0.0401235, 0.0492257, 0.0690086, 0.0505901, 0.0685286, 0.0658854, 0.0654331, 0.0513489, 0.0595703, 0.0489313, 0.0756712, 0.064941, 0.0654434, 0.0666314, 0.0669458, 0.0650691, 0.0575967, 0.0466269, 0.0776325, 0.0619729, 0.0601794, 0.0546951, 0.066724, 0.0541521, 0.0708544, 0.0696845, 0.0677688, 0.0637258, 0.0737619, 0.0815046, 0.0682978, 0.0592092, 0.0649694, 0.0713898, 0.0671097, 0.068793, 0.0739398, 0.0773248, 0.0497721, 0.0684042, 0.0559853, 0.0568877, 0.0854878, 0.0414849, 0.067049, 0.0684296, 0.0681166, 0.0514596, 0.0758406, 0.0576802, 0.0567321, 0.066102, 0.062977, 0.0548572, 0.0534536, 0.0544961, 0.07057, 0.0613209, 0.0738531, 0.0568202, 0.0569114, 0.0650883, 0.0605503, 0.0702737, 0.0634384, 0.0778922, 0.0605942, 0.0788785, 0.0769986, 0.0645317, 0.0953464, 0.0628834, 0.0544447, 0.0610451, 
Faure_500_10.txt_G_0.000100; 0.0001; 0.0170469, 0.0126775, 0.0119763, 0.013175, 0.0245483, 0.0156715, 0.0209954, 0.0113097, 0.0224864, 0.0312306, 0.0290756, 0.0221631, 0.0190107, 0.0123561, 0.016097, 0.0193066, 0.0134577, 0.0239365, 0.0113227, 0.0243629, 0.0207445, 0.0285218, 0.0188816, 0.0162376, 0.0134294, 0.0159887, 0.0148101, 0.0291891, 0.0287211, 0.0326488, 0.0213649, 0.0178054, 0.0230714, 0.0307332, 0.0317761, 0.0284377, 0.0143672, 0.0249201, 0.0206645, 0.0160438, 0.0182448, 0.0274833, 0.0310506, 0.0235995, 0.0194333, 0.0212939, 0.0223268, 0.0249183, 0.032745, 0.0169948, 0.0277233, 0.0208937, 0.016081, 0.0330702, 0.0323556, 0.0268256, 0.0360445, 0.0269392, 0.0123499, 0.0314919, 0.0199521, 0.0235164, 0.0219585, 0.0183146, 0.0233987, 0.0333162, 0.0182443, 0.0157518, 0.0260527, 0.0272215, 0.0110152, 0.0318677, 0.0226453, 0.0171219, 0.0202152, 0.0324568, 0.013574, 0.0234762, 0.0166617, 0.032027, 0.012149, 0.0194731, 0.0258646, 0.0206183, 0.0281443, 0.0300645, 0.0303736, 0.0226074, 0.0323785, 0.0202018, 0.0327985, 0.0268743, 0.0331836, 0.0214201, 0.0265647, 0.0284991, 0.0263853, 0.0309507, 0.0189757, 0.0261729, 
Faure_529_20.txt_G_0.000010; 1e-05; 0.011341, 0.0113379, 0.0150894, 0.0131559, 0.0129398, 0.0184422, 0.0150549, 0.0130316, 0.0131851, 0.00944877, 0.0132018, 0.0150991, 0.0131779, 0.0113102, 0.0113242, 0.0131894, 0.011332, 0.0113357, 0.011338, 0.0113172, 0.0150155, 0.0113066, 0.013984, 0.0113091, 0.0168416, 0.0149655, 0.0118967, 0.0132167, 0.0130682, 0.0131495, 0.0133063, 0.0113383, 0.01504, 0.0132312, 0.0131692, 0.0113408, 0.0113319, 0.0131242, 0.0113355, 0.0132254, 0.0131327, 0.0149693, 0.00944856, 0.0113316, 0.0149964, 0.0113382, 0.0113403, 0.0147454, 0.0149938, 0.0150181, 0.0168198, 0.0131758, 0.0113178, 0.0132213, 0.0132194, 0.0132263, 0.0162861, 0.0132255, 0.0148121, 0.0127046, 0.0132027, 0.0113388, 0.0150704, 0.0147807, 0.014587, 0.0150755, 0.0130753, 0.0128236, 0.0132229, 0.0183105, 0.0132114, 0.012812, 0.0150266, 0.0131869, 0.0131701, 0.0148013, 0.0113384, 0.0150341, 0.0113143, 0.0132147, 0.01319, 0.0132185, 0.00945115, 0.0165434, 0.013209, 0.0132308, 0.0132261, 0.0113365, 0.0113279, 0.0131216, 0.0131539, 0.0132023, 0.0132264, 0.0113028, 0.0150792, 0.00944887, 0.0131358, 0.0160925, 0.0150235, 0.0150709, 
