Algorithm;Hyperparameter (C);Values
Faure_50_10.txt_ISDisG_0.464159; 0.464159; 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 
Faure_100_10.txt_ISDisG_0.100000; 0.1; 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 
Faure_121_8.txt_ISDisG_1.000000; 1; 0.123848, 0.126438, 0.14306, 0.138684, 0.12633, 0.12228, 0.131043, 0.125158, 0.11797, 0.125999, 0.134415, 0.126908, 0.13486, 0.122392, 0.121361, 0.127233, 0.126993, 0.135673, 0.134993, 0.131385, 0.128847, 0.119961, 0.130555, 0.131044, 0.121852, 0.133541, 0.126971, 0.126433, 0.134551, 0.126815, 0.12284, 0.127948, 0.117281, 0.124461, 0.121187, 0.125906, 0.125508, 0.128007, 0.129343, 0.128166, 0.12678, 0.125268, 0.125536, 0.121474, 0.122493, 0.127454, 0.129993, 0.130919, 0.124199, 0.128707, 0.130059, 0.121694, 0.120447, 0.130774, 0.122239, 0.119192, 0.125525, 0.132341, 0.134639, 0.124441, 0.121009, 0.124508, 0.128563, 0.112411, 0.121566, 0.122367, 0.120013, 0.123757, 0.123333, 0.125854, 0.130703, 0.143035, 0.126228, 0.130899, 0.121913, 0.131267, 0.11856, 0.126889, 0.126988, 0.133604, 0.140108, 0.122556, 0.125437, 0.127201, 0.123162, 0.129482, 0.123739, 0.121867, 0.134497, 0.123304, 0.138979, 0.127831, 0.130021, 0.122525, 0.136048, 0.153368, 0.127574, 0.128592, 0.118145, 0.124743, 
Faure_121_9.txt_ISDisG_0.464159; 0.464159; 0.106413, 0.105718, 0.115673, 0.102943, 0.113835, 0.12799, 0.114738, 0.114599, 0.106322, 0.110098, 0.114644, 0.108233, 0.102997, 0.106167, 0.116332, 0.11479, 0.110663, 0.10417, 0.118009, 0.126181, 0.119577, 0.107623, 0.115382, 0.109178, 0.103567, 0.123371, 0.119301, 0.112053, 0.105591, 0.112172, 0.113114, 0.114599, 0.116115, 0.104121, 0.107946, 0.130468, 0.110065, 0.0976762, 0.105627, 0.123722, 0.117406, 0.107624, 0.11775, 0.110624, 0.114516, 0.136653, 0.111821, 0.131142, 0.106342, 0.10823, 0.119881, 0.109664, 0.109697, 0.103806, 0.112084, 0.106739, 0.122916, 0.116512, 0.12642, 0.104812, 0.1211, 0.112416, 0.111753, 0.132161, 0.114383, 0.106447, 0.120843, 0.105912, 0.114156, 0.102208, 0.103705, 0.116724, 0.106757, 0.105882, 0.101946, 0.108098, 0.138114, 0.125621, 0.121282, 0.124552, 0.120841, 0.117058, 0.106122, 0.109191, 0.104156, 0.10321, 0.118429, 0.111885, 0.0998123, 0.104125, 0.11407, 0.112178, 0.102238, 0.117527, 0.118815, 0.101815, 0.115102, 0.113891, 0.12287, 0.114591, 
Faure_121_10.txt_ISDisG_0.464159; 0.464159; 0.127962, 0.132581, 0.13558, 0.127779, 0.128939, 0.136452, 0.14195, 0.138296, 0.120318, 0.166876, 0.120711, 0.124316, 0.128558, 0.137245, 0.13128, 0.118401, 0.133826, 0.142641, 0.120963, 0.142809, 0.121816, 0.1358, 0.132727, 0.118655, 0.153822, 0.113791, 0.136097, 0.130441, 0.12567, 0.116068, 0.11967, 0.12845, 0.112022, 0.122119, 0.125726, 0.140089, 0.156796, 0.130516, 0.129056, 0.121523, 0.121751, 0.121233, 0.117653, 0.128218, 0.117096, 0.126956, 0.129768, 0.120002, 0.139486, 0.108767, 0.124597, 0.13245, 0.110826, 0.139162, 0.128217, 0.132332, 0.125777, 0.132058, 0.128104, 0.116069, 0.127073, 0.128632, 0.129908, 0.122859, 0.117016, 0.139563, 0.128545, 0.11416, 0.129365, 0.122299, 0.121117, 0.135794, 0.134428, 0.117118, 0.113301, 0.124546, 0.112533, 0.139814, 0.148871, 0.153307, 0.137028, 0.127771, 0.125667, 0.144283, 0.133977, 0.122171, 0.120986, 0.120529, 0.140585, 0.130979, 0.120534, 0.131366, 0.127782, 0.129004, 0.120953, 0.135907, 0.119283, 0.131742, 0.125239, 0.125045, 
Faure_121_11.txt_ISDisG_0.002154; 0.00215443; 0.0538439, 0.079586, 0.0704422, 0.099173, 0.111583, 0.100773, 0.134653, 0.108859, 0.10296, 0.128529, 0.117824, 0.133066, 0.132851, 0.110218, 0.0799414, 0.121893, 0.097857, 0.118068, 0.0830505, 0.119636, 0.0850769, 0.137871, 0.0651859, 0.166558, 0.149302, 0.163055, 0.076892, 0.126811, 0.133215, 0.156139, 0.143738, 0.131131, 0.0739729, 0.0823532, 0.116648, 0.100773, 0.114731, 0.127141, 0.0940722, 0.120931, 0.114642, 0.112717, 0.120099, 0.0826974, 0.152031, 0.1221, 0.122272, 0.107506, 0.106716, 0.180785, 0.0831941, 0.144175, 0.123084, 0.10412, 0.174228, 0.114325, 0.15638, 0.151691, 0.123313, 0.123038, 0.0849727, 0.102623, 0.118427, 0.196771, 0.126118, 0.116423, 0.119914, 0.119359, 0.145376, 0.103407, 0.139347, 0.137236, 0.144253, 0.142927, 0.122258, 0.166348, 0.158156, 0.148213, 0.10668, 0.075621, 0.123336, 0.133408, 0.137936, 0.0903857, 0.0707695, 0.157253, 0.0758078, 0.0792778, 0.170824, 0.118045, 0.114718, 0.107847, 0.134962, 0.0907496, 0.12964, 0.143002, 0.108105, 0.102872, 0.0849683, 0.105457, 
Faure_169_12.txt_ISDisG_0.010000; 0.01; 0.0744896, 0.0868024, 0.0707128, 0.109748, 0.088836, 0.13654, 0.104845, 0.12452, 0.123199, 0.108393, 0.12543, 0.076607, 0.0866479, 0.121155, 0.131833, 0.0885212, 0.12443, 0.10022, 0.1007, 0.0939634, 0.131659, 0.106673, 0.118917, 0.0679571, 0.0560674, 0.131788, 0.107585, 0.0940969, 0.117562, 0.124785, 0.0757532, 0.106825, 0.116592, 0.105274, 0.112435, 0.122302, 0.133729, 0.124194, 0.151731, 0.119793, 0.109982, 0.129031, 0.109548, 0.112862, 0.12443, 0.129314, 0.0783293, 0.116477, 0.128681, 0.0729435, 0.103144, 0.13085, 0.106134, 0.144052, 0.118803, 0.131612, 0.0922239, 0.112263, 0.122457, 0.118874, 0.125631, 0.10695, 0.12572, 0.129476, 0.115264, 0.145145, 0.139231, 0.152701, 0.111598, 0.0532122, 0.142509, 0.116548, 0.117602, 0.152556, 0.107676, 0.127295, 0.121854, 0.111503, 0.12257, 0.134537, 0.161976, 0.0867287, 0.120185, 0.136867, 0.150314, 0.105156, 0.11659, 0.127993, 0.113875, 0.142254, 0.139548, 0.126956, 0.121244, 0.125037, 0.120251, 0.118845, 0.139753, 0.134682, 0.158036, 0.163534, 
Faure_343_7.txt_ISDisG_0.464159; 0.464159; 0.0984407, 0.0967626, 0.0813303, 0.0843134, 0.0936634, 0.0904262, 0.0800143, 0.0846982, 0.0813141, 0.0917711, 0.0786941, 0.105755, 0.0818963, 0.0861941, 0.0925241, 0.083751, 0.100097, 0.0890577, 0.103133, 0.0987066, 0.0908096, 0.083442, 0.0953518, 0.0895387, 0.0908129, 0.0844824, 0.089496, 0.0837858, 0.0824908, 0.0847902, 0.0880777, 0.0948377, 0.0833193, 0.0857758, 0.0831023, 0.0833535, 0.0775426, 0.094077, 0.0800189, 0.089881, 0.0991963, 0.0829061, 0.0839886, 0.0807221, 0.0941109, 0.0805807, 0.0916079, 0.0983987, 0.0924546, 0.0979596, 0.0862166, 0.0923002, 0.0841784, 0.0788781, 0.0826976, 0.083555, 0.0865454, 0.0902128, 0.0934867, 0.0905025, 0.0791498, 0.0824336, 0.0879105, 0.0996724, 0.0926586, 0.0935076, 0.0832558, 0.08433, 0.082291, 0.0835201, 0.0866031, 0.0844932, 0.0874571, 0.0849629, 0.0883396, 0.0861915, 0.0823874, 0.0860992, 0.0953714, 0.0848121, 0.0912108, 0.0853801, 0.0883637, 0.0852911, 0.0875669, 0.0841409, 0.0968421, 0.0866903, 0.0859186, 0.086782, 0.0965979, 0.0888929, 0.0861648, 0.0803238, 0.0835036, 0.0784627, 0.0935418, 0.0914995, 0.0814867, 0.0847648, 
Faure_500_10.txt_ISDisG_0.100000; 0.1; 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0594061, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 
Faure_529_20.txt_ISDisG_0.010000; 0.01; 0.0983729, 0.076922, 0.0824982, 0.11517, 0.0935209, 0.0804326, 0.0824119, 0.0892298, 0.100223, 0.112969, 0.101656, 0.0999075, 0.0930414, 0.102206, 0.105567, 0.0909539, 0.0739489, 0.0737443, 0.103901, 0.122887, 0.0804199, 0.0942967, 0.116738, 0.0884333, 0.11827, 0.109731, 0.10254, 0.0955656, 0.114229, 0.079118, 0.0992451, 0.0806482, 0.0853103, 0.109991, 0.110694, 0.106969, 0.0834339, 0.0778438, 0.105237, 0.133288, 0.108007, 0.11515, 0.116662, 0.112859, 0.111424, 0.112822, 0.129399, 0.0911156, 0.106171, 0.10679, 0.103925, 0.119292, 0.114453, 0.111461, 0.11516, 0.119098, 0.0855542, 0.111471, 0.122246, 0.106288, 0.110707, 0.106918, 0.102581, 0.116857, 0.116921, 0.0866526, 0.139113, 0.125357, 0.0950082, 0.123067, 0.114429, 0.115978, 0.116112, 0.112785, 0.118321, 0.12303, 0.120719, 0.109913, 0.121383, 0.117606, 0.122295, 0.122985, 0.11437, 0.132636, 0.134982, 0.131769, 0.129327, 0.1222, 0.137498, 0.132586, 0.138318, 0.134238, 0.144993, 0.150934, 0.14838, 0.143323, 0.147518, 0.180919, 0.180919, 0.180919, 
