Algorithm;Hyperparameter (C);Values
Faure_50_10.txt_ISDisG/Sep_0.464159; 0.464159; 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 0.468027, 
Faure_100_10.txt_ISDisG/Sep_0.215443; 0.215443; 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 0.208779, 
Faure_121_8.txt_ISDisG/Sep_0.021544; 0.0215443; 0.103841, 0.115346, 0.122014, 0.118596, 0.112096, 0.125185, 0.12026, 0.129831, 0.158863, 0.128346, 0.119802, 0.12026, 0.137346, 0.155157, 0.115346, 0.155198, 0.155157, 0.155157, 0.158863, 0.158904, 0.155198, 0.154345, 0.158904, 0.118596, 0.155198, 0.156062, 0.158904, 0.154345, 0.161878, 0.158904, 0.122216, 0.123062, 0.155157, 0.155198, 0.155198, 0.155198, 0.12226, 0.158904, 0.162568, 0.162568, 0.158821, 0.154345, 0.125596, 0.115346, 0.12189, 0.125924, 0.125924, 0.135069, 0.154263, 0.130279, 0.12189, 0.155157, 0.151492, 0.151492, 0.155157, 0.136712, 0.122216, 0.155198, 0.158904, 0.129589, 0.136712, 0.155198, 0.136712, 0.136712, 0.140213, 0.14396, 0.16265, 0.14396, 0.14396, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 0.16269, 
Faure_121_9.txt_ISDisG/Sep_0.021544; 0.0215443; 0.101236, 0.114623, 0.11345, 0.111293, 0.126843, 0.112962, 0.114539, 0.116732, 0.123159, 0.0951291, 0.118222, 0.131818, 0.142268, 0.131818, 0.120014, 0.139337, 0.13526, 0.0951291, 0.135301, 0.138785, 0.135301, 0.128335, 0.0981828, 0.131818, 0.131818, 0.135301, 0.131818, 0.131776, 0.131818, 0.104589, 0.135301, 0.128251, 0.128335, 0.142268, 0.131818, 0.128378, 0.131818, 0.104634, 0.138742, 0.138742, 0.128335, 0.111216, 0.138742, 0.126666, 0.114657, 0.142183, 0.131818, 0.128378, 0.135174, 0.135216, 0.135216, 0.142183, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 0.135343, 
Faure_121_10.txt_ISDisG/Sep_0.046416; 0.0464159; 0.121624, 0.125022, 0.118312, 0.121539, 0.158098, 0.158138, 0.158138, 0.158138, 0.161898, 0.161778, 0.158098, 0.165697, 0.154419, 0.154338, 0.161818, 0.158138, 0.154378, 0.165618, 0.161778, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 0.165736, 
Faure_121_11.txt_ISDisG/Sep_0.046416; 0.0464159; 0.144488, 0.15175, 0.148079, 0.148079, 0.151669, 0.159049, 0.166671, 0.159049, 0.166671, 0.15542, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.162841, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 0.155541, 
Faure_169_12.txt_ISDisG/Sep_0.021544; 0.0215443; 0.105395, 0.127062, 0.116957, 0.115354, 0.126975, 0.105584, 0.118759, 0.126861, 0.113101, 0.122025, 0.117718, 0.109153, 0.109843, 0.132873, 0.131392, 0.157932, 0.120163, 0.147678, 0.145104, 0.14774, 0.142571, 0.1268, 0.14772, 0.142592, 0.142613, 0.145084, 0.150273, 0.145063, 0.142571, 0.150272, 0.13159, 0.155462, 0.119858, 0.152867, 0.150252, 0.155442, 0.129357, 0.120141, 0.152867, 0.12209, 0.125253, 0.158057, 0.138065, 0.140039, 0.137363, 0.150252, 0.142469, 0.150272, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 0.163534, 
Faure_343_7.txt_ISDisG/Sep_0.046416; 0.0464159; 0.0713077, 0.0647273, 0.0942257, 0.0720417, 0.0913541, 0.0913541, 0.0884826, 0.0899181, 0.101361, 0.0913541, 0.0970535, 0.101361, 0.0899181, 0.0970535, 0.0913541, 0.101361, 0.0957176, 0.0999063, 0.0899181, 0.0913541, 0.0898757, 0.0957176, 0.0942956, 0.0942956, 0.101361, 0.0942956, 0.0970535, 0.0913541, 0.0957176, 0.101361, 0.0957176, 0.0957176, 0.0913541, 0.0957176, 0.0970535, 0.101361, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.101332, 0.0899181, 0.0913541, 0.101361, 0.0957176, 0.0957176, 0.0957176, 0.0898757, 0.0957176, 0.0899181, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0970535, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0913541, 0.104185, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.104185, 0.0957176, 0.0957176, 0.0913541, 0.101361, 0.0727672, 0.0899181, 0.0970535, 0.0957176, 0.104185, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 0.0957176, 
Faure_500_10.txt_ISDisG/Sep_0.021544; 0.0215443; 0.0577976, 0.0577976, 0.0578362, 0.0577976, 0.0577976, 0.0578942, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.0577976, 0.057631, 0.0574431, 0.0632637, 0.0619875, 0.0632637, 0.0642729, 0.0640948, 0.0620281, 0.0585338, 0.0618362, 0.0620829, 0.063269, 0.0634594, 0.0615362, 0.0634594, 0.0632867, 0.0625359, 0.0638362, 0.0635362, 0.0631871, 0.0609369, 0.062686, 0.062686, 0.0657601, 0.0615362, 0.0632637, 0.0616557, 0.0610674, 0.0634646, 0.0634594, 0.0611871, 0.062686, 0.0616557, 0.0616557, 0.0635362, 0.061705, 0.0615974, 0.0631871, 0.0631378, 0.0622733, 0.0619826, 0.0632637, 0.061983, 0.062686, 0.0612637, 0.0634594, 0.0613276, 0.063705, 0.0629369, 0.0631876, 0.062487, 0.062686, 0.0618548, 0.0634594, 0.0619818, 0.061213, 0.0634594, 0.0617912, 0.0634594, 0.0634549, 0.0634646, 0.0634594, 0.063705, 0.062324, 0.062686, 0.0626128, 0.0618847, 0.0605143, 0.0626183, 0.0605186, 0.0608369, 0.0627367, 0.0622327, 0.0631871, 0.0634873, 0.0632637, 0.0632369, 0.0629369, 0.062686, 0.0647367, 0.0632637, 0.0632369, 0.0634594, 0.0617866, 0.0627889, 0.0634594, 
Faure_529_20.txt_ISDisG/Sep_0.010000; 0.01; 0.0928381, 0.114335, 0.0983201, 0.0937359, 0.0938702, 0.0958223, 0.100655, 0.109101, 0.0981875, 0.102017, 0.0993375, 0.105045, 0.104921, 0.108194, 0.0917426, 0.109839, 0.104505, 0.112907, 0.113644, 0.102892, 0.0937951, 0.112216, 0.114495, 0.11746, 0.103714, 0.0922104, 0.113619, 0.117347, 0.0955534, 0.108999, 0.119869, 0.0995629, 0.110752, 0.0970942, 0.108896, 0.112907, 0.11247, 0.118233, 0.114417, 0.102497, 0.0996042, 0.126126, 0.115202, 0.0988023, 0.113047, 0.126199, 0.119874, 0.12149, 0.0995991, 0.0996199, 0.123084, 0.112348, 0.116001, 0.124513, 0.114462, 0.103476, 0.122271, 0.134261, 0.109964, 0.109223, 0.0963352, 0.111247, 0.108775, 0.115218, 0.119905, 0.133503, 0.118334, 0.131867, 0.132571, 0.122996, 0.122265, 0.113023, 0.132622, 0.137601, 0.125457, 0.141686, 0.128671, 0.134196, 0.126004, 0.166545, 0.161688, 0.161688, 0.161688, 0.161688, 0.161688, 0.180919, 0.180919, 0.180919, 0.161688, 0.180919, 0.161688, 0.180919, 0.161688, 0.180919, 0.161688, 0.180919, 0.161688, 0.180919, 0.180919, 0.180919, 
