Algorithm;Hyperparameter (C);Values
Single; 1e-05; 0.0312964, 0.0209098, 0.0259774, 0.0431166, 0.0260292, 0.0544329, 0.0222617, 0.0378865, 0.0359343, 0.0537524, 0.0211164, 0.0202701, 0.0471803, 0.0249763, 0.0408478, 0.0343807, 0.0221822, 0.0230896, 0.0293439, 0.0240392, 0.0232193, 0.0184648, 0.021599, 0.0460098, 0.0377848, 0.0365165, 0.0291648, 0.0488866, 0.033844, 0.0356748, 0.0243698, 0.0395082, 0.0482629, 0.035765, 0.0206921, 0.0316717, 0.0403179, 0.0225517, 0.0326283, 0.0228272, 0.0337772, 0.0590686, 0.0233088, 0.020155, 0.024611, 0.0494002, 0.048493, 0.0433982, 0.0378477, 0.0561015, 0.0259879, 0.0437507, 0.0248058, 0.0552998, 0.0542446, 0.0453395, 0.020015, 0.0374284, 0.0490725, 0.0813396, 0.0213419, 0.0330302, 0.0232084, 0.054382, 0.020213, 0.0703193, 0.0403468, 0.0566126, 0.0258348, 0.0315883, 0.0196139, 0.0196951, 0.0242199, 0.0323925, 0.049302, 0.0319832, 0.0244118, 0.0362988, 0.0233277, 0.0275441, 0.026974, 0.0279841, 0.0352545, 0.0757879, 0.0297093, 0.0444185, 0.0388633, 0.0493377, 0.0440813, 0.0612257, 0.0342133, 0.0303892, 0.0379511, 0.0680161, 0.0271452, 0.0433321, 0.0597012, 0.0461487, 0.0446352, 0.0535725, 
Separated; 1e-05; 0.0275425, 0.0266473, 0.0244552, 0.0228592, 0.0406234, 0.056316, 0.0295348, 0.0391395, 0.0270218, 0.0343008, 0.0615876, 0.0320454, 0.0328088, 0.0383081, 0.0248058, 0.0404994, 0.0248707, 0.0282523, 0.030366, 0.0300931, 0.0430435, 0.0345828, 0.0281659, 0.0196256, 0.0322067, 0.0316265, 0.037233, 0.0197515, 0.0222551, 0.0287877, 0.0285159, 0.0397786, 0.0397183, 0.0508676, 0.0309934, 0.043599, 0.0272327, 0.0763519, 0.0382343, 0.0338166, 0.0212993, 0.0229115, 0.0332621, 0.0657194, 0.0594448, 0.0460782, 0.0252959, 0.0315793, 0.0265172, 0.0323181, 0.0538494, 0.0208959, 0.0271085, 0.0518248, 0.0383203, 0.0278708, 0.0269354, 0.039755, 0.0379813, 0.0333837, 0.0444462, 0.0290472, 0.0350648, 0.0650824, 0.0240353, 0.0762768, 0.0293271, 0.0264185, 0.0354794, 0.0379078, 0.0401761, 0.0252948, 0.0440878, 0.0205109, 0.0297021, 0.0233135, 0.031768, 0.0481677, 0.0231862, 0.0275538, 0.0424003, 0.0425291, 0.0452616, 0.0225517, 0.0697211, 0.0255055, 0.0379924, 0.0322008, 0.0584634, 0.0215673, 0.0238996, 0.0460775, 0.0407186, 0.0385108, 0.0495404, 0.0274154, 0.0609868, 0.0336506, 0.0308544, 0.0355925, 
Single; 2.15443e-05; 0.0259774, 0.0312964, 0.0431166, 0.0260292, 0.0209098, 0.0359343, 0.0537524, 0.0202701, 0.0184648, 0.0221822, 0.0343807, 0.0471803, 0.0291648, 0.0279841, 0.0385468, 0.0254023, 0.0460098, 0.0230896, 0.021599, 0.0365165, 0.0377848, 0.0356748, 0.0326283, 0.0222617, 0.0482629, 0.0408478, 0.0488866, 0.0395082, 0.0303892, 0.0337772, 0.0206921, 0.0243698, 0.0316717, 0.0342133, 0.024611, 0.0240392, 0.04175, 0.0225517, 0.048493, 0.0233088, 0.020155, 0.0271452, 0.0437507, 0.0433321, 0.0519671, 0.0552998, 0.041161, 0.0228272, 0.0813396, 0.0261607, 0.0374284, 0.0542446, 0.0232084, 0.0213419, 0.0453395, 0.0379511, 0.0330302, 0.0259879, 0.0703193, 0.0680161, 0.0490725, 0.0242199, 0.0261739, 0.0403468, 0.0196139, 0.0248058, 0.0196951, 0.0319832, 0.054382, 0.0473105, 0.0679516, 0.0315883, 0.0323925, 0.0571172, 0.0779391, 0.0362988, 0.026974, 0.0544329, 0.0241295, 0.0244118, 0.0211164, 0.0352545, 0.0757879, 0.0378865, 0.024597, 0.0297093, 0.0566126, 0.0446352, 0.0408132, 0.0267525, 0.0440813, 0.0590686, 0.0433982, 0.0391737, 0.020213, 0.049302, 0.0535725, 0.0388633, 0.0461487, 0.0551118, 
Separated; 2.15443e-05; 0.0266473, 0.0459654, 0.0406234, 0.0370126, 0.0615876, 0.0277258, 0.0228592, 0.0417128, 0.0391395, 0.0322067, 0.0248058, 0.0200309, 0.030366, 0.0300931, 0.0295348, 0.0385473, 0.0282523, 0.0328088, 0.0248707, 0.037233, 0.0404994, 0.0222551, 0.0287877, 0.0293823, 0.0397183, 0.0383081, 0.0275425, 0.0233104, 0.0460782, 0.0309934, 0.0197515, 0.0518248, 0.0447875, 0.0266779, 0.0316265, 0.0401761, 0.0508676, 0.0460775, 0.0437318, 0.0481677, 0.0335753, 0.0271085, 0.0272327, 0.0252948, 0.0278708, 0.0657194, 0.0315793, 0.0379813, 0.0208959, 0.0344403, 0.0762768, 0.0343008, 0.0269354, 0.0244552, 0.0333837, 0.0609868, 0.0382343, 0.0538494, 0.0290472, 0.0255055, 0.0205109, 0.0296738, 0.0607471, 0.039755, 0.0274154, 0.0557704, 0.0293271, 0.0416179, 0.0350648, 0.0763519, 0.02254, 0.0197609, 0.0440878, 0.0444462, 0.0650824, 0.0354794, 0.0314024, 0.0495404, 0.031768, 0.0340304, 0.0297021, 0.0275538, 0.0425291, 0.0452616, 0.0345828, 0.0379924, 0.0479528, 0.0322008, 0.0231862, 0.056316, 0.0355925, 0.0225517, 0.0270218, 0.0407186, 0.0332621, 0.0264457, 0.0233135, 0.0376682, 0.0235622, 0.0385108, 
Single; 4.64159e-05; 0.0209098, 0.0260292, 0.0230896, 0.0431166, 0.0359343, 0.0259774, 0.0378865, 0.0184648, 0.0537524, 0.0544329, 0.0202701, 0.0639239, 0.0222617, 0.0220095, 0.0211164, 0.0279841, 0.0221822, 0.0312964, 0.021599, 0.0291648, 0.0343807, 0.0408478, 0.0267525, 0.0342133, 0.0377848, 0.0488866, 0.0225517, 0.0395082, 0.0365165, 0.0243698, 0.0240392, 0.0482629, 0.0206921, 0.0259879, 0.0316717, 0.0326283, 0.0261007, 0.0418349, 0.0233088, 0.0303892, 0.0403179, 0.0519671, 0.0455417, 0.048493, 0.031966, 0.024611, 0.0437507, 0.020155, 0.0542446, 0.0433321, 0.0379511, 0.0453395, 0.0813396, 0.0680161, 0.0261607, 0.0208308, 0.0403468, 0.0261739, 0.0590686, 0.0276556, 0.0213419, 0.0330302, 0.0703193, 0.0779391, 0.0254869, 0.0552998, 0.0196951, 0.0473105, 0.0566126, 0.049302, 0.0319832, 0.0621271, 0.0323925, 0.0571172, 0.0362988, 0.0597012, 0.0244118, 0.026974, 0.0356863, 0.0380012, 0.0248058, 0.0785207, 0.0213533, 0.0244413, 0.0406605, 0.0457988, 0.0403799, 0.0361092, 0.0446352, 0.0408132, 0.0460098, 0.0196139, 0.0271452, 0.0461487, 0.0220666, 0.0332412, 0.0535725, 0.0241295, 0.0391737, 0.0297093, 
Separated; 4.64159e-05; 0.0350712, 0.0295348, 0.0391395, 0.0602383, 0.0234407, 0.0406234, 0.0383081, 0.0377259, 0.0502219, 0.0322067, 0.0282168, 0.0282523, 0.056316, 0.0417128, 0.0228592, 0.0244552, 0.0270218, 0.0332621, 0.0422779, 0.0300931, 0.030366, 0.0266473, 0.0251536, 0.0460775, 0.0225517, 0.0404994, 0.0576624, 0.0370126, 0.0316265, 0.0222551, 0.0340155, 0.0447547, 0.0397912, 0.0460782, 0.0266779, 0.0397183, 0.0197515, 0.0437318, 0.0208959, 0.0263405, 0.0335753, 0.0345828, 0.0309934, 0.0518248, 0.0385473, 0.037233, 0.0264457, 0.0252948, 0.0344403, 0.0443062, 0.0380579, 0.0426762, 0.0379813, 0.0440878, 0.0290472, 0.0457325, 0.0274154, 0.0333837, 0.0538494, 0.0762768, 0.0197609, 0.0557971, 0.0248707, 0.0609868, 0.0205109, 0.0271085, 0.0278708, 0.047017, 0.0537524, 0.0348838, 0.0350648, 0.031768, 0.0557704, 0.048003, 0.0607471, 0.0514161, 0.0444462, 0.0481677, 0.0763519, 0.0355925, 0.0650824, 0.0379924, 0.0479528, 0.0242569, 0.0425291, 0.0367161, 0.0297021, 0.0632231, 0.0503196, 0.0379078, 0.0293271, 0.0233135, 0.0447875, 0.0272327, 0.0296738, 0.0322008, 0.0376682, 0.0275538, 0.0401761, 0.0407186, 
Single; 0.0001; 0.0260292, 0.0230974, 0.0431166, 0.0544329, 0.0314374, 0.0257249, 0.034938, 0.0184648, 0.0209098, 0.0471803, 0.0291648, 0.0359343, 0.0537524, 0.0383512, 0.0220095, 0.0259209, 0.0263162, 0.0387602, 0.0267525, 0.0362908, 0.0224101, 0.0202701, 0.0342133, 0.0385468, 0.0377848, 0.0365165, 0.0462199, 0.0408478, 0.0395082, 0.0208777, 0.0347938, 0.0290292, 0.0237662, 0.0460098, 0.0482629, 0.0309367, 0.0240392, 0.0473105, 0.0238272, 0.020718, 0.0326283, 0.0316717, 0.0303892, 0.0212376, 0.024611, 0.0353799, 0.0276556, 0.0433321, 0.0403179, 0.031966, 0.048493, 0.045339, 0.0182329, 0.0552998, 0.0379044, 0.0590686, 0.0437507, 0.0249618, 0.0204738, 0.020155, 0.0391737, 0.0403468, 0.0194596, 0.0233088, 0.0306214, 0.0319832, 0.0453395, 0.0330302, 0.0343458, 0.0367209, 0.0254869, 0.0274658, 0.0779391, 0.0225878, 0.0343807, 0.0196951, 0.0566126, 0.0621271, 0.0679516, 0.0220666, 0.0323925, 0.0809022, 0.0244118, 0.026974, 0.0297093, 0.0378865, 0.0241295, 0.0223365, 0.0356748, 0.0244413, 0.0456934, 0.0455417, 0.0461487, 0.0530029, 0.0271452, 0.0813396, 0.0264206, 0.0420513, 0.0560143, 0.0248058, 
Separated; 0.0001; 0.0273239, 0.0380361, 0.0320282, 0.0300931, 0.0383081, 0.0275425, 0.0391395, 0.0615876, 0.0554389, 0.0215785, 0.0449677, 0.0283178, 0.0332621, 0.0270224, 0.0266293, 0.0512923, 0.0282523, 0.026944, 0.0370126, 0.0248058, 0.0533269, 0.0411996, 0.0216831, 0.0241475, 0.0404709, 0.0358432, 0.0352083, 0.0576624, 0.0473936, 0.0228592, 0.0353384, 0.040116, 0.0198372, 0.0358123, 0.0199962, 0.0316265, 0.0247567, 0.0397183, 0.0213975, 0.0447875, 0.0302986, 0.0315836, 0.0263405, 0.0518248, 0.0278708, 0.0437318, 0.0335753, 0.0459178, 0.0233995, 0.0328745, 0.0293271, 0.0266069, 0.0322268, 0.040534, 0.0762768, 0.0208959, 0.0428706, 0.0443062, 0.0379078, 0.0333837, 0.0516495, 0.0549442, 0.0510261, 0.0438959, 0.0537524, 0.0538494, 0.0348838, 0.0241742, 0.0609868, 0.0296738, 0.0205109, 0.0297021, 0.0438197, 0.0425997, 0.0228467, 0.0444462, 0.0537996, 0.0474393, 0.0344157, 0.031768, 0.0424003, 0.0315635, 0.0275538, 0.0425291, 0.0650824, 0.0336506, 0.0481677, 0.0234354, 0.0645005, 0.0271623, 0.0311289, 0.0272327, 0.0376682, 0.0478969, 0.0530436, 0.0420914, 0.0322008, 0.0264457, 0.0407186, 0.0379924, 
Single; 0.000215443; 0.0230974, 0.0260292, 0.0431166, 0.0283178, 0.0359343, 0.0288395, 0.0234847, 0.0202701, 0.0221783, 0.0259209, 0.0364286, 0.0347938, 0.0248077, 0.0285098, 0.0387602, 0.022478, 0.0291648, 0.0240135, 0.0234079, 0.0365165, 0.0478812, 0.0551333, 0.0258939, 0.0422208, 0.0227121, 0.0462199, 0.0208777, 0.0235043, 0.0303892, 0.0541813, 0.0330286, 0.0422074, 0.0468119, 0.0253334, 0.027163, 0.024611, 0.0326283, 0.0473105, 0.0358995, 0.061496, 0.0200437, 0.040813, 0.0303218, 0.048493, 0.0232272, 0.0353799, 0.0334082, 0.0271452, 0.0575536, 0.0258945, 0.0400769, 0.0188565, 0.0391736, 0.0381578, 0.0552998, 0.0195777, 0.0316717, 0.0449164, 0.0248058, 0.0226058, 0.0221818, 0.0506559, 0.0345578, 0.0204738, 0.0257035, 0.062471, 0.0293414, 0.0462504, 0.0307493, 0.0367209, 0.0254869, 0.0308514, 0.0416479, 0.0597012, 0.0237752, 0.0354024, 0.0312386, 0.026097, 0.0297093, 0.0339583, 0.0403405, 0.020718, 0.0433031, 0.0244413, 0.0377848, 0.0523228, 0.0319832, 0.0460098, 0.0409952, 0.0452397, 0.0249558, 0.0456934, 0.0239862, 0.0397887, 0.0448851, 0.0530029, 0.0233088, 0.0358444, 0.0566126, 0.0461487, 
Separated; 0.000215443; 0.0281966, 0.0342347, 0.0260292, 0.0380361, 0.0283178, 0.0319482, 0.0395082, 0.035734, 0.0340155, 0.0344589, 0.0370126, 0.0384731, 0.0609868, 0.0204808, 0.0253844, 0.0577397, 0.0235028, 0.0437318, 0.03007, 0.0248058, 0.0358432, 0.0236238, 0.0265013, 0.0199962, 0.0271743, 0.0595877, 0.0245821, 0.0636526, 0.0626477, 0.0519257, 0.0532298, 0.0311863, 0.032215, 0.0223389, 0.0435243, 0.0265861, 0.0460782, 0.0350231, 0.0241475, 0.0302986, 0.0263042, 0.0407366, 0.0239562, 0.0228592, 0.0237743, 0.024514, 0.0476366, 0.022356, 0.0318489, 0.0584544, 0.0274154, 0.0278708, 0.0388508, 0.0277025, 0.0762768, 0.0549442, 0.0481677, 0.0311792, 0.0390927, 0.0439027, 0.054762, 0.0392691, 0.0271085, 0.0264185, 0.0547686, 0.0512923, 0.0341832, 0.0300507, 0.0411708, 0.0434846, 0.0459178, 0.0645005, 0.0779391, 0.0321246, 0.076531, 0.0512842, 0.0298413, 0.0460811, 0.04331, 0.0288153, 0.0329229, 0.0348405, 0.0510122, 0.0763519, 0.0661076, 0.043171, 0.0272327, 0.0546352, 0.0407186, 0.0638663, 0.0316265, 0.0262462, 0.0650824, 0.062471, 0.0378052, 0.0449091, 0.0322008, 0.0253977, 0.0764503, 0.0445381, 
