Algorithm;Hyperparameter (C);Values
Grid State Space; 1e-05; 0.0215578, 0.0223876, 0.0241735, 0.0238382, 0.0218657, 0.0207336, 0.0217037, 0.0218656, 0.0222399, 0.0214817, 0.0218153, 0.0231126, 0.0235493, 0.0224182, 0.02095, 0.021632, 0.0169451, 0.0227523, 0.0240185, 0.0241216, 0.0235095, 0.0219282, 0.023624, 0.0224852, 0.0222618, 0.0235993, 0.0241588, 0.0241768, 0.0255762, 0.0254512, 0.0275082, 0.0263866, 0.0253683, 0.0260967, 0.0276743, 0.0250328, 0.026285, 0.0273233, 0.0244168, 0.024377, 0.0256687, 0.0262834, 0.0262768, 0.0263471, 0.026288, 0.0273353, 0.0262286, 0.026853, 0.0261735, 0.0262224, 0.028028, 0.0262312, 0.0261271, 0.0259135, 0.0262329, 0.0262023, 0.0262191, 0.0262053, 0.0261817, 0.0262658, 0.02621, 0.0261153, 0.027336, 0.0262261, 0.027778, 0.0261512, 0.0261403, 0.0261906, 0.0272581, 0.026194, 0.0265621, 0.0280079, 0.0289033, 0.0270561, 0.026813, 0.0262288, 0.0267321, 0.0269409, 0.0279209, 0.0261857, 0.0252457, 0.0255269, 0.0261753, 0.0288528, 0.0261983, 0.0260586, 0.0275381, 0.0261394, 0.0262124, 0.02623, 0.029354, 0.0296515, 0.0311834, 0.0261422, 0.0280047, 0.0296258, 0.0295857, 0.0295618, 0.032342, 0.0330246, 
Grid State Exact; 1e-05; 0.0075612, 0.00755719, 0.00756138, 0.00945164, 0.00945168, 0.00945167, 0.0113364, 0.00756083, 0.00567078, 0.00945026, 0.00945178, 0.00756113, 0.00756143, 0.00756132, 0.00945175, 0.00756143, 0.0094515, 0.00945168, 0.00945177, 0.00945004, 0.00945143, 0.00945038, 0.00945153, 0.00945046, 0.00945082, 0.00945175, 0.00945122, 0.00945061, 0.00945171, 0.00945146, 0.00945075, 0.0094504, 0.00945175, 0.00945154, 0.00945048, 0.00945172, 0.00756142, 0.00945, 0.00945175, 0.00945174, 0.0132174, 0.0113394, 0.0111776, 0.00945155, 0.00945158, 0.00945174, 0.00945161, 0.0113391, 0.00945118, 0.00944893, 0.00945153, 0.00945097, 0.00945147, 0.00945122, 0.00945176, 0.00945162, 0.01512, 0.011255, 0.0130062, 0.0151216, 0.00944711, 0.00945177, 0.00756143, 0.00945149, 0.00945061, 0.0094435, 0.00944047, 0.0151211, 0.0094425, 0.0075614, 0.00756026, 0.00567108, 0.00756126, 0.00756138, 0.00944114, 0.00944711, 0.00943687, 0.0094449, 0.0113269, 0.0112798, 0.00945119, 0.0169188, 0.0188536, 0.00567107, 0.00945075, 0.0131815, 0.015084, 0.00756143, 0.0169568, 0.0169516, 0.0169713, 0.0112987, 0.0150514, 0.0150597, 0.0183737, 0.0201052, 0.0204528, 0.0146835, 0.00943688, 0.0149499, 
Deterministic State Space; 1e-05; 0.0371359, 
Improved Split State Space; 1e-05; 0.101335, 0.116045, 0.145791, 0.136667, 0.14502, 0.143275, 0.146526, 0.136715, 0.143346, 0.130842, 0.124556, 0.131444, 0.145004, 0.144786, 0.121937, 0.134928, 0.155181, 0.133874, 0.142455, 0.12928, 0.134924, 0.138914, 0.122514, 0.140611, 0.111084, 0.130081, 0.150886, 0.131251, 0.120966, 0.138197, 0.133645, 0.120658, 0.102049, 0.120964, 0.132636, 0.156658, 0.149809, 0.122241, 0.140657, 0.151264, 0.152393, 0.149833, 0.135678, 0.150665, 0.130665, 0.119892, 0.123559, 0.135484, 0.151341, 0.149567, 0.130084, 0.144369, 0.136228, 0.164502, 0.14147, 0.157486, 0.142057, 0.111541, 0.106834, 0.1222, 0.15296, 0.151262, 0.13682, 0.142312, 0.149821, 0.136537, 0.157527, 0.123287, 0.168033, 0.125892, 0.141458, 0.155423, 0.151258, 0.118727, 0.154658, 0.109755, 0.152146, 0.105344, 0.152566, 0.131909, 0.0930008, 0.163887, 0.148329, 0.144912, 0.153029, 0.133738, 0.137633, 0.152958, 0.154271, 0.128416, 0.130619, 0.136898, 0.163844, 0.151294, 0.162155, 0.0922747, 0.136016, 0.147034, 0.147324, 0.1327, 
Improved Exact Space; 1e-05; 0.0492726, 0.0343987, 0.0744602, 0.0438627, 0.0653309, 0.0784244, 0.0625824, 0.0825813, 0.0524176, 0.0405642, 0.0782782, 0.0699648, 0.0949138, 0.0845292, 0.0679314, 0.0971268, 0.0798362, 0.0779755, 0.0812781, 0.0901777, 0.0837377, 0.0973557, 0.105409, 0.138888, 0.0970138, 0.0914165, 0.0750768, 0.0685348, 0.0552368, 0.0687494, 0.0766693, 0.0393212, 0.102255, 0.0945247, 0.0696911, 0.0811406, 0.0602366, 0.0873949, 0.0641735, 0.0545514, 0.0961939, 0.0922269, 0.0296152, 0.0957415, 0.105861, 0.0586051, 0.0551286, 0.103715, 0.0973908, 0.0790094, 0.0860459, 0.070887, 0.0416147, 0.0706146, 0.0800141, 0.0594404, 0.123074, 0.0870627, 0.0550275, 0.0856108, 0.0558797, 0.076234, 0.0831701, 0.0946639, 0.100879, 0.0754253, 0.0803266, 0.066645, 0.0410976, 0.0475851, 0.0698139, 0.0772803, 0.0796892, 0.118538, 0.0728985, 0.0713646, 0.0685349, 0.116373, 0.0793966, 0.0552921, 0.0854937, 0.063425, 0.11103, 0.0799794, 0.102006, 0.0661902, 0.0690287, 0.0848024, 0.120884, 0.077979, 0.0876232, 0.110228, 0.0782962, 0.0827297, 0.09038, 0.105096, 0.124636, 0.0737177, 0.110452, 0.075371, 
Point State Space; 1e-05; 8.32809e-08, 2.55501e-07, 1.69556e-09, 5.09546e-08, 1.08189e-13, 1.293e-09, 2.80697e-08, 6.11079e-10, 1.20658e-10, 6.39786e-09, 1.18868e-10, 3.23065e-07, 3.69619e-09, 3.66445e-11, 1.54924e-09, 3.53976e-10, 5.91695e-10, 3.36105e-09, 0.00189036, 1.0189e-09, 1.60817e-09, 2.37425e-07, 0.005671, 0.00756088, 3.99727e-05, 0.00189036, 0.00944642, 0.0037807, 0.00189036, 0.00378072, 0.00567108, 0.00378071, 0.00378071, 0.00378039, 0.00377972, 0.00189036, 0.0037807, 0.00189036, 0.00566995, 0.00378071, 0.00378072, 0.00378069, 0.00567107, 0.00567066, 0.00189021, 0.00567043, 0.00189034, 0.00378061, 0.00189036, 0.00189036, 0.00189036, 0.00756064, 0.00567063, 0.00378072, 0.00378071, 0.00378072, 0.00189036, 0.0037807, 0.00189036, 0.00189035, 0.00189036, 0.00567068, 0.00189036, 0.00567107, 0.00189035, 0.00189036, 0.00378049, 0.00189036, 0.00378007, 0.00567102, 0.00378071, 0.00378071, 0.00567094, 0.00378072, 0.00944868, 0.00189035, 0.00940045, 0.0113378, 0.00945025, 0.00756103, 0.00189036, 0.0056705, 0.00378062, 0.0132296, 0.00189035, 0.00189036, 0.0113362, 0.0113184, 0.00567062, 0.00378072, 0.00378068, 0.00567106, 0.00378071, 0.00189036, 0.0056708, 0.00756117, 0.00378071, 0.00378072, 0.00378071, 0.0113174, 
Grid State Space; 2.15443e-05; 0.0194486, 0.0243176, 0.0222971, 0.0241803, 0.0199391, 0.0220284, 0.0217131, 0.0236462, 0.0225887, 0.0232585, 0.0246532, 0.0207872, 0.0207893, 0.0219731, 0.0219876, 0.0235336, 0.0166046, 0.0207905, 0.0222789, 0.021582, 0.0210886, 0.0242257, 0.0251902, 0.0258011, 0.0248163, 0.0252437, 0.0262421, 0.0262125, 0.0259074, 0.0256006, 0.0258485, 0.0248764, 0.026976, 0.0262345, 0.027167, 0.026235, 0.0262507, 0.0244443, 0.0267085, 0.0256979, 0.0261537, 0.0262266, 0.0262724, 0.0260897, 0.0259339, 0.0272022, 0.0260311, 0.0274335, 0.0276724, 0.0279613, 0.0261249, 0.0269002, 0.0261543, 0.0260053, 0.0261408, 0.0259136, 0.0261993, 0.0274864, 0.0262174, 0.0244498, 0.0269997, 0.026107, 0.0273423, 0.0262388, 0.0261851, 0.0274454, 0.0265732, 0.026132, 0.0270499, 0.0264076, 0.0272081, 0.0283647, 0.0264212, 0.0261715, 0.024421, 0.0262495, 0.0261426, 0.0261538, 0.0266643, 0.0261622, 0.0262352, 0.0279312, 0.0261799, 0.0260997, 0.0274337, 0.030727, 0.0276083, 0.029629, 0.0291293, 0.0290482, 0.0326678, 0.0278567, 0.0282144, 0.0296031, 0.0279409, 0.029407, 0.032044, 0.0313633, 0.0326807, 0.0346276, 
Grid State Exact; 2.15443e-05; 0.0113364, 0.00945046, 0.00945165, 0.00567107, 0.00945172, 0.00945175, 0.0094514, 0.0113391, 0.0151191, 0.00945162, 0.0112798, 0.00945175, 0.00945145, 0.0169188, 0.00944832, 0.00945096, 0.00567108, 0.00945104, 0.00944865, 0.0170045, 0.0112987, 0.00945177, 0.00756143, 0.00944889, 0.00944872, 0.00567107, 0.00755719, 0.0188382, 0.00945164, 0.00945177, 0.00945178, 0.00945168, 0.00945168, 0.00567108, 0.00943511, 0.00756036, 0.00945154, 0.00945163, 0.00755445, 0.00945062, 0.00945108, 0.0113394, 0.00945168, 0.0132174, 0.0188842, 0.00945171, 0.0094517, 0.00945151, 0.011255, 0.00945057, 0.00945026, 0.00945175, 0.00756126, 0.00945075, 0.00945139, 0.00945168, 0.00945176, 0.00756138, 0.00945153, 0.00945161, 0.00945174, 0.00945147, 0.00944816, 0.0130062, 0.011228, 0.00945154, 0.00945167, 0.00945177, 0.00945154, 0.00945155, 0.00945121, 0.00945169, 0.00945177, 0.0146835, 0.0094371, 0.009449, 0.0188835, 0.0113402, 0.0130877, 0.018779, 0.00945114, 0.00943764, 0.0131441, 0.0113269, 0.00945153, 0.0094504, 0.00943232, 0.0169446, 0.0183537, 0.00945177, 0.00945146, 0.0131815, 0.015065, 0.0188605, 0.015059, 0.018614, 0.0202923, 0.00756142, 0.0201052, 0.0187657, 
Deterministic State Space; 2.15443e-05; 0.0371359, 
Improved Split State Space; 2.15443e-05; 0.157269, 0.123873, 0.0957166, 0.141638, 0.12639, 0.127672, 0.140934, 0.108995, 0.142283, 0.0991796, 0.122701, 0.15088, 0.129655, 0.150681, 0.122976, 0.145428, 0.11964, 0.155197, 0.130088, 0.106387, 0.144534, 0.118104, 0.13649, 0.105912, 0.107529, 0.12984, 0.122956, 0.123294, 0.135683, 0.123773, 0.130733, 0.132235, 0.1243, 0.13899, 0.155916, 0.136827, 0.125336, 0.122757, 0.137401, 0.134069, 0.170684, 0.131872, 0.14065, 0.120968, 0.121464, 0.0805862, 0.156043, 0.127509, 0.164742, 0.16068, 0.135208, 0.12407, 0.118655, 0.143332, 0.132061, 0.135717, 0.107854, 0.152111, 0.148428, 0.135208, 0.109034, 0.150686, 0.121701, 0.152385, 0.108341, 0.142308, 0.119729, 0.135208, 0.106799, 0.129638, 0.156894, 0.123865, 0.153984, 0.137584, 0.135202, 0.119088, 0.13176, 0.12066, 0.152393, 0.15022, 0.14204, 0.131897, 0.165818, 0.159264, 0.137926, 0.154656, 0.151229, 0.152107, 0.107569, 0.172469, 0.109061, 0.149221, 0.137354, 0.170688, 0.150413, 0.154104, 0.121428, 0.135208, 0.135208, 0.168033, 
