Algorithm;Hyperparameter (C);Values
G/UCT; 1e-05; 0.0507719, 0.0522513, 0.0527024, 0.0417269, 0.0696252, 0.042398, 0.0408847, 0.0495423, 0.0825182, 0.0560085, 0.0474401, 0.0466588, 0.0718017, 0.0517356, 0.0471539, 0.0459354, 0.0456809, 0.0722604, 0.0393494, 0.0485935, 0.0464483, 0.0416913, 0.0434247, 0.0468479, 0.0561428, 0.0648858, 0.050111, 0.0321674, 0.0497119, 0.083724, 0.0657507, 0.0398289, 0.0993561, 0.0467572, 0.0437054, 0.0472536, 0.0534107, 0.0426001, 0.0446586, 0.0408852, 0.0730987, 0.0464204, 0.0463348, 0.0442369, 0.0455705, 0.0543577, 0.0414634, 0.0436774, 0.0497662, 0.0645251, 0.0463193, 0.0525212, 0.0692515, 0.0407088, 0.0509091, 0.0472331, 0.043329, 0.0779285, 0.0407753, 0.051148, 0.0460378, 0.046463, 0.0624971, 0.0408847, 0.0470828, 0.0474458, 0.0467258, 0.0471408, 0.0421613, 0.0403215, 0.0381396, 0.062976, 0.0406659, 0.0409139, 0.0408847, 0.0572582, 0.0407862, 0.0409134, 0.0426415, 0.283607, 0.0408852, 0.0620439, 0.0554967, 0.0469954, 0.0408852, 0.0442398, 0.047039, 0.0415196, 0.0409139, 0.0472134, 0.0534509, 0.047408, 0.0448149, 0.0471555, 0.0408852, 0.0616565, 0.0469229, 0.0409139, 0.225362, 0.283607, 
G/Tun; 1e-05; 0.0456863, 0.0470287, 0.076854, 0.0661821, 0.0454841, 0.051617, 0.0469445, 0.0406659, 0.0501316, 0.0408847, 0.0416532, 0.0451659, 0.0320358, 0.0447857, 0.0463467, 0.0337628, 0.0441419, 0.0408847, 0.0453482, 0.046642, 0.0672568, 0.0467694, 0.0662849, 0.0408852, 0.046445, 0.0532362, 0.040814, 0.0431623, 0.042927, 0.0583, 0.0582675, 0.0453683, 0.0474443, 0.046306, 0.0534107, 0.0486113, 0.0438027, 0.0699837, 0.0463311, 0.0638449, 0.059672, 0.0406666, 0.0466304, 0.0459137, 0.0458778, 0.0408852, 0.0408847, 0.0406666, 0.0458258, 0.0474409, 0.257568, 0.0458088, 0.0469048, 0.0500034, 0.04774, 0.0406659, 0.0479674, 0.0406878, 0.0462913, 0.076065, 0.0465919, 0.0406666, 0.04158, 0.0458539, 0.0319046, 0.0477752, 0.0506801, 0.0406013, 0.0409143, 0.0408847, 0.0537137, 0.0408633, 0.0408852, 0.046657, 0.0471869, 0.0484031, 0.0449684, 0.0407096, 0.0470681, 0.047039, 0.0410545, 0.046444, 0.0409143, 0.0734116, 0.0544996, 0.0697221, 0.0406659, 0.243503, 0.0436058, 0.0471728, 0.0487059, 0.0456506, 0.0472745, 0.213753, 0.0700811, 0.252902, 0.26381, 0.292189, 0.286625, 0.0554308, 
G/SP; 1e-05; 0.0297241, 0.0352121, 0.0245452, 0.023022, 0.00825953, 0.0225367, 0.0161437, 0.0165064, 0.017174, 0.0130857, 0.0161713, 0.0220126, 0.0163859, 0.0243825, 0.0237452, 0.0224478, 0.0362665, 0.0240799, 0.0157006, 0.00895136, 0.0242604, 0.0182001, 0.0165222, 0.0212964, 0.0242096, 0.0303488, 0.0164508, 0.0162572, 0.0211955, 0.0163078, 0.0240035, 0.0164926, 0.0159244, 0.0245673, 0.0239868, 0.0164928, 0.0164536, 0.0263539, 0.0163973, 0.0232817, 0.0162857, 0.016264, 0.0163282, 0.0268756, 0.0243615, 0.0164212, 0.0244394, 0.0242091, 0.0237623, 0.016431, 0.0241183, 0.0235738, 0.0164675, 0.0161527, 0.0209804, 0.016508, 0.0162454, 0.0164045, 0.0242455, 0.0161803, 0.016444, 0.0164288, 0.022259, 0.0163947, 0.0164532, 0.0233923, 0.0163798, 0.0301583, 0.0242043, 0.0233211, 0.0232803, 0.0162026, 0.0199546, 0.0218306, 0.0150893, 0.0240182, 0.0316244, 0.0163278, 0.0220074, 0.0163188, 0.0243919, 0.0163508, 0.0223262, 0.0164228, 0.0243449, 0.0165136, 0.0301149, 0.0165086, 0.0241311, 0.0236911, 0.0244615, 0.0164346, 0.0165119, 0.0162874, 0.0164726, 0.0204996, 0.0240803, 0.0199568, 0.0163487, 0.0256504, 
G/Dep; 1e-05; 0.0485185, 0.0402556, 0.076854, 0.0502955, 0.0480249, 0.0422475, 0.0481982, 0.0348073, 0.0441419, 0.0403538, 0.0436089, 0.0537535, 0.0409139, 0.0537154, 0.0514545, 0.0453343, 0.0474221, 0.0408852, 0.0457425, 0.0464467, 0.0608122, 0.0432132, 0.0421858, 0.0444659, 0.0473044, 0.0408134, 0.0332921, 0.0420158, 0.0534107, 0.0477889, 0.0460227, 0.0464212, 0.0406659, 0.0797352, 0.04183, 0.048163, 0.0476904, 0.0465945, 0.0472049, 0.046814, 0.0722717, 0.0620567, 0.0607996, 0.0459943, 0.0407096, 0.0455877, 0.0415818, 0.268775, 0.0408847, 0.040679, 0.0711204, 0.0405574, 0.0418472, 0.0473039, 0.0452286, 0.0480359, 0.0562833, 0.0409642, 0.0537137, 0.0375763, 0.0406666, 0.0709866, 0.0425945, 0.047318, 0.0578267, 0.0408407, 0.0483252, 0.0737528, 0.0699837, 0.0508449, 0.0447819, 0.040713, 0.0406989, 0.0406666, 0.0485699, 0.0450487, 0.0672568, 0.0469731, 0.0473407, 0.0464248, 0.0596005, 0.046995, 0.0451301, 0.0474575, 0.0409139, 0.0541529, 0.0471785, 0.0370233, 0.0462247, 0.0651933, 0.0479674, 0.0542417, 0.0454295, 0.0454157, 0.0464775, 0.264902, 0.0496141, 0.0468402, 0.0468816, 0.0554308, 
G/Gre; 1e-05; 0.0730987, 0.0517356, 0.0645251, 0.0993561, 0.0408847, 0.0522513, 0.0474458, 0.0495423, 0.0471408, 0.0474401, 0.0825182, 0.0417269, 0.0381396, 0.0560085, 0.050111, 0.0485935, 0.0321674, 0.042398, 0.0657507, 0.0696252, 0.0527024, 0.0497119, 0.0416913, 0.0561428, 0.0472331, 0.0408852, 0.0507719, 0.0525212, 0.0456809, 0.0455705, 0.043329, 0.0403215, 0.0534107, 0.0468479, 0.0415196, 0.0534509, 0.0436774, 0.0470828, 0.0472134, 0.0437054, 0.0509091, 0.0407088, 0.0414634, 0.0572582, 0.0426415, 0.0442369, 0.0464483, 0.0463348, 0.0426001, 0.0408847, 0.0409134, 0.047039, 0.0408852, 0.0421613, 0.062976, 0.0722604, 0.0408852, 0.0409139, 0.0407753, 0.0624971, 0.0467572, 0.0718017, 0.0463193, 0.0409139, 0.051148, 0.0472536, 0.0446586, 0.0543577, 0.0648858, 0.0467258, 0.083724, 0.0779285, 0.0408852, 0.0460378, 0.0434247, 0.0497662, 0.0448149, 0.0407862, 0.0469229, 0.0406659, 0.0442398, 0.047408, 0.0692515, 0.0469954, 0.0471555, 0.046463, 0.0459354, 0.0393494, 0.225362, 0.0620439, 0.0398289, 0.0409139, 0.0471539, 0.0466588, 0.0554967, 0.0464204, 0.0616565, 0.283607, 0.283607, 0.0408847, 
G/Sqrt; 1e-05; 0.0408847, 0.0993561, 0.0645251, 0.0507719, 0.0517356, 0.0471539, 0.0474401, 0.0381396, 0.0474458, 0.0730987, 0.0417269, 0.0485935, 0.0522513, 0.0408852, 0.0495423, 0.0321674, 0.0722604, 0.0560085, 0.042398, 0.0825182, 0.0464483, 0.0527024, 0.0497119, 0.050111, 0.0437054, 0.0468479, 0.0696252, 0.0446586, 0.0426001, 0.0561428, 0.0657507, 0.0648858, 0.0408852, 0.0403215, 0.046463, 0.0472536, 0.0406659, 0.0471408, 0.0467572, 0.0718017, 0.0469229, 0.043329, 0.0779285, 0.0426415, 0.0543577, 0.0497662, 0.0525212, 0.0456809, 0.051148, 0.0407753, 0.0470828, 0.0509091, 0.0472331, 0.0407088, 0.0463348, 0.0434247, 0.0393494, 0.0459354, 0.0460378, 0.0442369, 0.047039, 0.0466588, 0.0415196, 0.0463193, 0.062976, 0.0692515, 0.0534509, 0.0534107, 0.0436774, 0.0472134, 0.0572582, 0.0455705, 0.0398289, 0.0408852, 0.0409134, 0.0414634, 0.0554967, 0.0467258, 0.0448149, 0.0408852, 0.0464204, 0.0408847, 0.0469954, 0.0409139, 0.083724, 0.0407862, 0.0409139, 0.0416913, 0.0442398, 0.0421613, 0.0624971, 0.0409139, 0.047408, 0.0471555, 0.225362, 0.0620439, 0.283607, 0.0616565, 0.283607, 0.0408847, 
G/UCT; 2.15443e-05; 0.0605031, 0.0519091, 0.047993, 0.113793, 0.0474193, 0.0547089, 0.047993, 0.0505105, 0.0742748, 0.0851706, 0.0470802, 0.0475313, 0.0350345, 0.06801, 0.042312, 0.0408007, 0.0501842, 0.0457567, 0.0494721, 0.0604519, 0.0458195, 0.0785265, 0.0473679, 0.0478545, 0.0408847, 0.0462649, 0.0508353, 0.0406659, 0.0408847, 0.0491889, 0.0629301, 0.0461591, 0.0431211, 0.0613574, 0.0458792, 0.0459932, 0.0465215, 0.0408847, 0.0471959, 0.0601962, 0.0447951, 0.0448424, 0.0607388, 0.0408852, 0.0408847, 0.047039, 0.0484173, 0.0413987, 0.0408852, 0.0466005, 0.0409134, 0.0526723, 0.0462947, 0.0612989, 0.0491594, 0.0970267, 0.047055, 0.0406666, 0.0439859, 0.0409139, 0.0408847, 0.0408852, 0.0495691, 0.0407777, 0.0409071, 0.0443522, 0.0408847, 0.0455967, 0.08159, 0.0448241, 0.0658178, 0.0420352, 0.0408774, 0.0473411, 0.0418467, 0.0475554, 0.0407771, 0.0491458, 0.0408847, 0.0583432, 0.0408774, 0.0408852, 0.0507972, 0.0525697, 0.0531107, 0.0408852, 0.0459806, 0.0412934, 0.0687342, 0.0408852, 0.0534107, 0.0421661, 0.0469825, 0.0455834, 0.0478076, 0.0462134, 0.0641888, 0.043919, 0.057326, 0.0335287, 
G/Tun; 2.15443e-05; 0.0645251, 0.0477938, 0.0624971, 0.0478183, 0.0481982, 0.117394, 0.0474465, 0.0329105, 0.0503876, 0.0818878, 0.0524257, 0.065124, 0.047993, 0.0462797, 0.046336, 0.0466793, 0.0560024, 0.0407249, 0.0461814, 0.0327144, 0.0553347, 0.046915, 0.0471581, 0.0469588, 0.0481145, 0.0472445, 0.0435219, 0.046951, 0.0401749, 0.0448703, 0.0456833, 0.0468182, 0.042273, 0.0708979, 0.0469373, 0.0469898, 0.048163, 0.083724, 0.0408774, 0.0408847, 0.0654042, 0.0467808, 0.046589, 0.0403388, 0.0524673, 0.0601615, 0.0417376, 0.0408662, 0.047993, 0.0491907, 0.0534107, 0.0402815, 0.0435429, 0.0469552, 0.0890698, 0.0406659, 0.0472339, 0.0482961, 0.0408667, 0.0408847, 0.0467147, 0.0408847, 0.0686368, 0.0352121, 0.0342346, 0.0407759, 0.0459908, 0.0469333, 0.0466466, 0.0434827, 0.0408117, 0.056249, 0.050111, 0.252937, 0.0465131, 0.268775, 0.0404022, 0.0409139, 0.0408847, 0.0554967, 0.0475206, 0.0474444, 0.249184, 0.0408847, 0.0408852, 0.0463814, 0.0470303, 0.241177, 0.0496525, 0.232242, 0.0512075, 0.0408852, 0.0357287, 0.0534764, 0.235285, 0.0469984, 0.0616565, 0.0350024, 0.040835, 0.0408847, 
G/SP; 2.15443e-05; 0.0297241, 0.0225367, 0.0301583, 0.0242043, 0.0165064, 0.0245452, 0.023022, 0.0352121, 0.0161713, 0.0164288, 0.017174, 0.0159244, 0.0164675, 0.0182001, 0.0164726, 0.0220126, 0.0244615, 0.0242604, 0.0164926, 0.0362665, 0.0209804, 0.00895136, 0.0163798, 0.0237452, 0.0162857, 0.0241311, 0.0157006, 0.0163947, 0.0164346, 0.0199546, 0.0165222, 0.0150893, 0.0245673, 0.0241183, 0.0165086, 0.0164532, 0.0244394, 0.0163859, 0.0162572, 0.0243449, 0.0233923, 0.016431, 0.0165119, 0.0163508, 0.0243825, 0.0164212, 0.0164228, 0.0163487, 0.0161437, 0.0232803, 0.0164508, 0.0237623, 0.0163282, 0.0233211, 0.0162026, 0.0164928, 0.016444, 0.0240803, 0.0163188, 0.0220074, 0.0161527, 0.0242096, 0.0163078, 0.0243615, 0.0235738, 0.0130857, 0.0164536, 0.0164045, 0.0243919, 0.022259, 0.0163973, 0.0240035, 0.0240182, 0.0240799, 0.0162874, 0.00825953, 0.0165136, 0.0218306, 0.0232817, 0.0268756, 0.0303488, 0.016508, 0.0242455, 0.0301149, 0.0263539, 0.0212964, 0.0236911, 0.0162454, 0.0161803, 0.0223262, 0.0204996, 0.0211955, 0.0242091, 0.016264, 0.0239868, 0.0316244, 0.0199568, 0.0224478, 0.0163278, 0.0256504, 
G/Dep; 2.15443e-05; 0.0483053, 0.0468164, 0.0473262, 0.0469023, 0.0526548, 0.0408697, 0.0626632, 0.0408847, 0.0465145, 0.0498444, 0.0442956, 0.0591057, 0.041705, 0.0414974, 0.0458573, 0.0545835, 0.0412666, 0.047993, 0.0472272, 0.0462335, 0.0408847, 0.0474729, 0.04665, 0.0464135, 0.0475087, 0.0656296, 0.0406659, 0.0408342, 0.0474382, 0.0408852, 0.0456607, 0.0621369, 0.0429042, 0.05024, 0.0468402, 0.0466558, 0.0660641, 0.0425345, 0.0470179, 0.116674, 0.0452667, 0.0436778, 0.0466104, 0.0485292, 0.0387766, 0.0480613, 0.0486157, 0.047993, 0.0452338, 0.0468809, 0.0326356, 0.0405956, 0.0464735, 0.0461679, 0.0483572, 0.046212, 0.0512206, 0.096799, 0.0534924, 0.0558005, 0.0553896, 0.0531956, 0.0531507, 0.0462769, 0.0539999, 0.0407759, 0.0531107, 0.0461058, 0.0460001, 0.0465314, 0.0406659, 0.0470166, 0.0406659, 0.0468455, 0.0439151, 0.0457903, 0.0408117, 0.0406451, 0.0467491, 0.0464701, 0.0381151, 0.0747575, 0.0406666, 0.0625466, 0.0408847, 0.0565093, 0.058805, 0.0408852, 0.0465108, 0.0406659, 0.0408852, 0.0467615, 0.0423983, 0.0408852, 0.0555102, 0.0376729, 0.0464471, 0.292189, 0.301048, 0.0476484, 
G/Gre; 2.15443e-05; 0.057326, 0.0607388, 0.047993, 0.0408852, 0.0519091, 0.0494721, 0.0470802, 0.0612989, 0.0409139, 0.0458792, 0.0526723, 0.0457567, 0.0491458, 0.0507972, 0.0525697, 0.0641888, 0.0408847, 0.0418467, 0.0687342, 0.0484173, 0.0501842, 0.0447951, 0.0534107, 0.047039, 0.0408847, 0.0420352, 0.0408847, 0.0439859, 0.0491594, 0.0658178, 0.0408847, 0.0970267, 0.047055, 0.0462134, 0.0421661, 0.0462649, 0.0475313, 0.0407771, 0.0408847, 0.0408774, 0.0851706, 0.0495691, 0.0478076, 0.0605031, 0.0462947, 0.0448241, 0.0455967, 0.0350345, 0.0335287, 0.047993, 0.0785265, 0.0583432, 0.0408847, 0.0431211, 0.0471959, 0.0459932, 0.113793, 0.0474193, 0.0458195, 0.0408852, 0.06801, 0.0408852, 0.08159, 0.0408852, 0.0629301, 0.0406666, 0.0408847, 0.0547089, 0.0508353, 0.0473411, 0.0475554, 0.0461591, 0.0443522, 0.0409134, 0.0466005, 0.0478545, 0.0465215, 0.0408852, 0.0491889, 0.0407777, 0.0448424, 0.0613574, 0.0604519, 0.0742748, 0.0409071, 0.0413987, 0.0459806, 0.0601962, 0.0408852, 0.0531107, 0.0408774, 0.0406659, 0.042312, 0.0469825, 0.0455834, 0.043919, 0.0473679, 0.0412934, 0.0505105, 0.0408007, 
G/Sqrt; 2.15443e-05; 0.0408852, 0.0413987, 0.0605031, 0.047993, 0.0471959, 0.0525697, 0.0507972, 0.0494721, 0.0687342, 0.0641888, 0.0470802, 0.0408852, 0.0491458, 0.0448241, 0.06801, 0.0407777, 0.0613574, 0.047055, 0.0658178, 0.0531107, 0.0408852, 0.0408852, 0.0408847, 0.047039, 0.0484173, 0.0491594, 0.0455967, 0.0851706, 0.0408774, 0.0473679, 0.0447951, 0.0418467, 0.0335287, 0.0501842, 0.0408847, 0.0462649, 0.0508353, 0.0420352, 0.0473411, 0.0409071, 0.0462947, 0.0526723, 0.0475313, 0.0469825, 0.0408852, 0.0607388, 0.08159, 0.0408007, 0.0408847, 0.0408847, 0.0459932, 0.0466005, 0.0458195, 0.043919, 0.0604519, 0.0350345, 0.0742748, 0.0408847, 0.0785265, 0.0421661, 0.0458792, 0.0478545, 0.0407771, 0.042312, 0.0443522, 0.0406666, 0.0478076, 0.0461591, 0.0431211, 0.047993, 0.0465215, 0.0406659, 0.113793, 0.0409139, 0.057326, 0.0970267, 0.0408847, 0.0601962, 0.0408847, 0.0612989, 0.0412934, 0.0629301, 0.0462134, 0.0519091, 0.0459806, 0.0408852, 0.0491889, 0.0475554, 0.0583432, 0.0448424, 0.0495691, 0.0474193, 0.0409134, 0.0455834, 0.0457567, 0.0534107, 0.0505105, 0.0408774, 0.0547089, 0.0439859, 
G/UCT; 4.64159e-05; 0.0508525, 0.0607266, 0.050958, 0.0566367, 0.0470341, 0.0478792, 0.0793495, 0.0574899, 0.0502014, 0.0466275, 0.0509572, 0.0486536, 0.046692, 0.051764, 0.301048, 0.0412331, 0.0474734, 0.046476, 0.0405565, 0.0525495, 0.0403377, 0.0589688, 0.06015, 0.0406666, 0.0453523, 0.0489701, 0.0918877, 0.0477412, 0.0568244, 0.0533683, 0.108339, 0.0488829, 0.0500245, 0.0462337, 0.0406659, 0.0601726, 0.0466966, 0.0462927, 0.0466508, 0.0572536, 0.0914135, 0.0468125, 0.0406659, 0.0406666, 0.0512319, 0.0458984, 0.0473555, 0.0408422, 0.0473393, 0.0466752, 0.0406502, 0.0461554, 0.078236, 0.0458491, 0.0504048, 0.032637, 0.0456215, 0.0534551, 0.0467322, 0.0461977, 0.0465264, 0.0466523, 0.0408852, 0.0462944, 0.0497809, 0.049153, 0.0463551, 0.04153, 0.0494943, 0.046794, 0.0462386, 0.047106, 0.0408852, 0.0574452, 0.0458874, 0.0408852, 0.0411428, 0.0511424, 0.0408847, 0.0408852, 0.0534107, 0.0465704, 0.0408852, 0.0466212, 0.0475445, 0.0458677, 0.0471961, 0.0494403, 0.0423452, 0.0464218, 0.0458767, 0.0467923, 0.0410366, 0.0468763, 0.0462725, 0.0408852, 0.0463748, 0.0409071, 0.0409139, 0.0327482, 
G/Tun; 4.64159e-05; 0.0461918, 0.0475554, 0.0486594, 0.0467213, 0.0644964, 0.0466259, 0.0455175, 0.0472638, 0.0326741, 0.0413578, 0.0507405, 0.0569865, 0.0460502, 0.0478071, 0.0406549, 0.0471018, 0.0784014, 0.0466998, 0.0859849, 0.0449238, 0.0448151, 0.0523085, 0.0404318, 0.0507252, 0.0371678, 0.0939491, 0.0458919, 0.0464631, 0.0507705, 0.0541823, 0.0408852, 0.0387114, 0.0459669, 0.046716, 0.0408847, 0.0408345, 0.0408852, 0.0375883, 0.0462953, 0.0453579, 0.0409139, 0.0424608, 0.0541546, 0.0462873, 0.0534107, 0.0408847, 0.0408847, 0.0471317, 0.0609967, 0.0408774, 0.301048, 0.0457441, 0.0326404, 0.0503566, 0.0469058, 0.0473605, 0.0534683, 0.0497193, 0.0450747, 0.0570099, 0.0447888, 0.0408852, 0.0407089, 0.0477874, 0.0465434, 0.0403377, 0.0408026, 0.0425414, 0.0419387, 0.0462343, 0.0576062, 0.046334, 0.0734544, 0.0459987, 0.0497084, 0.0408852, 0.047152, 0.0402677, 0.0564839, 0.0405657, 0.0535139, 0.0441334, 0.0448013, 0.0440296, 0.0473671, 0.0432216, 0.0467826, 0.0466631, 0.0480918, 0.0406994, 0.0476394, 0.0496623, 0.0408852, 0.287095, 0.0466168, 0.0567885, 0.0467251, 0.0472459, 0.0509444, 0.046949, 
G/SP; 4.64159e-05; 0.0240803, 0.0232817, 0.016508, 0.0164928, 0.0164536, 0.0163278, 0.016264, 0.0164288, 0.0164346, 0.0211955, 0.0162454, 0.0163282, 0.0209804, 0.0130857, 0.0263539, 0.0244394, 0.0232803, 0.017174, 0.00825953, 0.0268756, 0.0241183, 0.0236911, 0.0218306, 0.0242455, 0.0162874, 0.0163973, 0.0163947, 0.0162026, 0.0242043, 0.0163508, 0.0163487, 0.0161803, 0.0233923, 0.0165119, 0.023022, 0.0362665, 0.0161713, 0.0243919, 0.0241311, 0.0244615, 0.0150893, 0.0164532, 0.0165086, 0.0225367, 0.0163859, 0.0163188, 0.0237452, 0.0245452, 0.0316244, 0.0352121, 0.016444, 0.0220074, 0.0243449, 0.0245673, 0.0297241, 0.016431, 0.0256504, 0.0240035, 0.0165136, 0.0303488, 0.0220126, 0.0242091, 0.0162857, 0.0240799, 0.0237623, 0.0164228, 0.0199546, 0.0164212, 0.0212964, 0.0161527, 0.0161437, 0.0164726, 0.0199568, 0.0163798, 0.0164508, 0.0242604, 0.0164675, 0.0159244, 0.0243825, 0.0223262, 0.0235738, 0.0242096, 0.0233211, 0.022259, 0.0301583, 0.00895136, 0.0164045, 0.0239868, 0.0301149, 0.0165222, 0.0157006, 0.0162572, 0.0240182, 0.0224478, 0.0182001, 0.0204996, 0.0163078, 0.0165064, 0.0164926, 0.0243615, 
