Algorithm;Hyperparameter (C);Values
Grid State Space; 1e-05; 0.0502234, 0.0583554, 0.0896572, 0.0527501, 0.125783, 0.0528706, 0.0399339, 0.035022, 0.0442542, 0.0951667, 0.134458, 0.0494427, 0.047122, 0.0485838, 0.133394, 0.129482, 0.159819, 0.0400746, 0.159572, 0.0507048, 0.0438204, 0.149544, 0.146716, 0.0737572, 0.0538541, 0.138567, 0.0440675, 0.0467473, 0.151573, 0.134199, 0.151199, 0.141494, 0.15093, 0.138102, 0.124977, 0.0785603, 0.136555, 0.14084, 0.132555, 0.0442579, 0.0389274, 0.130583, 0.163899, 0.16222, 0.156881, 0.100327, 0.0530649, 0.16419, 0.127187, 0.117333, 0.0988368, 0.12936, 0.111333, 0.0596937, 0.137556, 0.117214, 0.0432858, 0.15093, 0.121259, 0.103561, 0.139931, 0.15638, 0.142667, 0.138434, 0.156744, 0.146689, 0.113219, 0.0607119, 0.113321, 0.13359, 0.164147, 0.149544, 0.135503, 0.136631, 0.128111, 0.13377, 0.116113, 0.141159, 0.118758, 0.131902, 0.137407, 0.145571, 0.142538, 0.10283, 0.141943, 0.13618, 0.138013, 0.155406, 0.0836893, 0.149961, 0.0492941, 0.0494906, 0.105278, 0.155386, 0.149791, 0.0492837, 0.130347, 0.150882, 0.149169, 0.143941, 
Deterministic State Space; 1e-05; 0.0642346, 
Improved Split State Space; 1e-05; 0.0642346, 0.0774427, 0.0786687, 0.0732444, 0.0811882, 0.0717071, 0.11851, 0.0702989, 0.0665927, 0.0663339, 0.0894141, 0.0894141, 0.123688, 0.123688, 0.123688, 0.123688, 0.157523, 0.103842, 0.123688, 0.16135, 0.16135, 0.157523, 0.16196, 0.157523, 0.128958, 0.128569, 0.135247, 0.16196, 0.16196, 0.16196, 0.165138, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.12523, 0.12523, 0.166438, 0.146011, 0.166438, 0.16196, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.170184, 0.162651, 0.127072, 0.166438, 0.166438, 0.161797, 0.12523, 0.157482, 0.161919, 0.166438, 0.162651, 0.166438, 0.166438, 0.165666, 0.166438, 0.149581, 0.166438, 0.166438, 0.146061, 0.162692, 0.166438, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.166438, 0.166438, 0.162692, 0.162692, 0.162692, 0.166438, 0.158945, 0.166438, 0.162692, 0.169412, 0.162692, 0.162692, 0.162692, 0.162692, 0.166438, 0.162692, 0.166438, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 
Smooth State Space; 1e-05; 0.0642346, 0.0774427, 0.0786687, 0.0663339, 0.0717071, 0.0811882, 0.0665927, 0.11851, 0.0702989, 0.0732444, 0.0894141, 0.0894141, 0.123688, 0.123688, 0.123688, 0.123688, 0.157523, 0.103842, 0.16135, 0.123688, 0.16135, 0.16196, 0.128958, 0.128569, 0.135247, 0.16196, 0.16196, 0.16196, 0.146011, 0.16196, 0.157523, 0.127072, 0.165138, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.12523, 0.12523, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.157523, 0.166438, 0.166438, 0.166438, 0.166438, 0.170184, 0.162651, 0.166438, 0.157482, 0.166438, 0.161797, 0.162651, 0.161919, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.165666, 0.149581, 0.166438, 0.166438, 0.166438, 0.166438, 0.162692, 0.162692, 0.146061, 0.162692, 0.166438, 0.166438, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 0.162692, 0.158945, 0.169412, 0.12523, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.166438, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 
Point State Space; 1e-05; 0.016908, 0.026233, 0.0308522, 0.00793948, 0.0165209, 0.0242389, 0.0217456, 0.010539, 0.0157204, 0.00796332, 0.00799521, 0.0131413, 0.0156557, 0.0272114, 0.00814084, 0.00551924, 0.0215061, 0.015583, 0.0160245, 0.00823166, 0.00820951, 0.0122149, 0.0164213, 0.0202422, 0.0155592, 0.033079, 0.00789576, 0.00711074, 0.00753763, 0.0297199, 0.0196506, 0.00126674, 0.0164147, 0.00677246, 0.0381457, 0.0359238, 0.00796556, 0.0253169, 0.0205477, 0.0247971, 0.0171124, 0.0189804, 0.0141794, 0.0266246, 0.00826191, 0.00789056, 0.0078496, 0.000574513, 0.0160079, 0.0077091, 0.000180322, 0.0151471, 0.0249416, 0.0161727, 0.015031, 0.0128565, 0.0144983, 0.000175258, 3.50808e-05, 0.000758082, 7.0147e-05, 0.0736553, 0.0259734, 0.0145601, 0.0285663, 5.71881e-05, 0.000227239, 0.0154851, 0.00826409, 0.0166241, 0.0478021, 0.0444446, 0.0195637, 0.00825219, 0.00823486, 0.008256, 0.00825354, 0.0303427, 0.00825616, 0.0261942, 0.033763, 0.0131948, 0.0156606, 0.0157187, 0.0306629, 0.0212968, 0.0162567, 0.00823403, 0.0157821, 0.0164703, 0.0205141, 0.0221854, 0.0298428, 0.024959, 0.026019, 0.0351553, 0.015065, 0.0173752, 0.0208206, 0.0132606, 
Grid State Space; 2.15443e-05; 0.0540571, 0.100594, 0.0507479, 0.0497789, 0.0543137, 0.126264, 0.142531, 0.0490685, 0.0458465, 0.0591356, 0.137995, 0.159923, 0.150591, 0.0474538, 0.0556414, 0.0554316, 0.117914, 0.0497695, 0.164284, 0.0553022, 0.151408, 0.107252, 0.0524939, 0.0513452, 0.110909, 0.122297, 0.0537782, 0.106244, 0.0504278, 0.131397, 0.113301, 0.164121, 0.128166, 0.139903, 0.140248, 0.129969, 0.13992, 0.0490582, 0.053975, 0.163899, 0.147456, 0.138993, 0.14281, 0.158755, 0.148472, 0.0565774, 0.0488935, 0.0522557, 0.0604139, 0.0572864, 0.0508388, 0.160411, 0.149921, 0.138463, 0.134584, 0.133863, 0.128393, 0.108988, 0.113653, 0.123227, 0.144723, 0.126789, 0.131563, 0.142137, 0.0515083, 0.136639, 0.151199, 0.133015, 0.102172, 0.12893, 0.163899, 0.15198, 0.136534, 0.148546, 0.145426, 0.151444, 0.059582, 0.138781, 0.104413, 0.124499, 0.129366, 0.0873695, 0.138037, 0.109955, 0.0882729, 0.057174, 0.144002, 0.139311, 0.163899, 0.132277, 0.155155, 0.131288, 0.131108, 0.131002, 0.126373, 0.128675, 0.0467003, 0.0774576, 0.0488929, 0.0550082, 
Deterministic State Space; 2.15443e-05; 0.0642346, 
Improved Split State Space; 2.15443e-05; 0.0642346, 0.0642346, 0.0642346, 0.0741079, 0.0705138, 0.0656558, 0.0807872, 0.0706505, 0.062045, 0.0637681, 0.084818, 0.0843771, 0.0720043, 0.0864553, 0.0680311, 0.0736124, 0.0902706, 0.118851, 0.122279, 0.123688, 0.115673, 0.123688, 0.123688, 0.123688, 0.16135, 0.0990183, 0.156913, 0.123688, 0.128569, 0.128569, 0.128569, 0.165747, 0.158133, 0.128569, 0.131908, 0.16196, 0.16196, 0.165056, 0.16196, 0.141215, 0.16196, 0.157482, 0.128569, 0.166438, 0.166438, 0.12523, 0.166438, 0.161919, 0.12523, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.12523, 0.166438, 0.161919, 0.166438, 0.166438, 0.12523, 0.170184, 0.166438, 0.166438, 0.166438, 0.166438, 0.138471, 0.166438, 0.166438, 0.161919, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.150118, 0.165503, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 
Smooth State Space; 2.15443e-05; 0.0642346, 0.0642346, 0.0642346, 0.0637681, 0.0741079, 0.0705138, 0.062045, 0.084818, 0.0902706, 0.0807872, 0.0843771, 0.0864553, 0.0720043, 0.0680311, 0.0706505, 0.0656558, 0.0736124, 0.118851, 0.122279, 0.123688, 0.123688, 0.115673, 0.123688, 0.123688, 0.123688, 0.0990183, 0.156913, 0.128569, 0.16135, 0.128569, 0.165747, 0.158133, 0.128569, 0.128569, 0.131908, 0.16196, 0.165056, 0.16196, 0.141215, 0.16196, 0.157482, 0.128569, 0.166438, 0.166438, 0.16196, 0.12523, 0.166438, 0.166438, 0.161919, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.170184, 0.12523, 0.166438, 0.166438, 0.150118, 0.166438, 0.166438, 0.161919, 0.166438, 0.161919, 0.138471, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.12523, 0.166438, 0.165503, 0.12523, 0.162692, 0.162692, 0.162692, 0.166438, 0.162692, 0.162692, 0.162692, 0.158945, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 
Point State Space; 2.15443e-05; 3.50808e-05, 7.0147e-05, 0.0164147, 0.00689185, 0.000180322, 0.026233, 0.0196506, 0.0122149, 0.0078496, 0.0261942, 0.00757026, 0.00796556, 0.0157204, 0.00793948, 0.0202422, 0.0242389, 0.00820951, 0.00799521, 0.00711074, 0.00823166, 0.015583, 0.0297199, 0.015031, 5.71881e-05, 0.0215061, 0.010539, 0.0151471, 0.0266246, 0.0359238, 0.00725891, 0.0141794, 0.00825107, 0.00753763, 0.0217456, 0.000175258, 0.0369948, 0.000227239, 0.00796332, 0.0205477, 0.0155592, 0.000758082, 0.00826409, 0.0131413, 0.0165209, 0.0164213, 0.0160079, 0.00677246, 0.00826191, 0.00814084, 0.0128565, 0.00789056, 0.0145601, 0.0144983, 0.008256, 0.0161727, 0.0154851, 0.0156557, 0.0162685, 0.000574513, 0.0736553, 0.0189804, 0.016159, 0.00825354, 0.0272114, 0.0285663, 0.00126674, 0.00823403, 0.00825616, 0.0166241, 0.0212968, 0.0205141, 0.0150925, 0.0171124, 0.026019, 0.0303427, 0.0478021, 0.0259734, 0.0177874, 0.00823486, 0.0444446, 0.0157821, 0.0247971, 0.0155816, 0.0164703, 0.0345947, 0.0308522, 0.0195637, 0.0130433, 0.0249416, 0.0147322, 0.033079, 0.0342167, 0.0298428, 0.0200516, 0.0208206, 0.0170496, 0.0253169, 0.0257855, 0.0132606, 0.030426, 
