Algorithm;Hyperparameter (C);Values
Normal; 1e-05; 0.0972977, 0.102569, 0.0890333, 0.113974, 0.0988153, 0.0954001, 0.0625552, 0.111046, 0.0462186, 0.0933024, 0.0910268, 0.0510523, 0.0898356, 0.0958791, 0.0699745, 0.0951564, 0.0596394, 0.0737705, 0.0874603, 0.0506715, 0.0689217, 0.0834491, 0.0775039, 0.117048, 0.071077, 0.0901246, 0.113123, 0.0889045, 0.0980518, 0.0618021, 0.0579227, 0.109092, 0.0790748, 0.0818925, 0.0846143, 0.0751852, 0.0931277, 0.0626432, 0.0779002, 0.0641055, 0.0657308, 0.0925723, 0.0952074, 0.0871329, 0.105899, 0.084661, 0.0542736, 0.0988952, 0.120869, 0.0683342, 0.0849943, 0.0651099, 0.0980518, 0.121846, 0.0971508, 0.0733753, 0.118675, 0.122181, 0.0525426, 0.0682755, 0.0878434, 0.120232, 0.0663138, 0.12694, 0.0586889, 0.0751042, 0.056327, 0.127515, 0.149425, 0.0679689, 0.062886, 0.118616, 0.0781352, 0.0542085, 0.0853253, 0.0955797, 0.126362, 0.113401, 0.082517, 0.0718018, 0.0916036, 0.125908, 0.122015, 0.157523, 0.0861039, 0.106856, 0.116778, 0.158904, 0.105006, 0.155861, 0.126539, 0.118139, 0.122718, 0.106909, 0.13123, 0.122349, 0.0941546, 0.108778, 0.156463, 0.148278, 
sq; 1e-05; 0.0689217, 0.0626432, 0.0874603, 0.0525426, 0.0910268, 0.0775039, 0.062886, 0.0846143, 0.0751852, 0.0955797, 0.109092, 0.0871329, 0.0972977, 0.117048, 0.0818925, 0.0952074, 0.120869, 0.0954001, 0.113974, 0.0641055, 0.0980518, 0.12694, 0.0657308, 0.082517, 0.0733753, 0.0834491, 0.056327, 0.0683342, 0.0933024, 0.0931277, 0.0651099, 0.125908, 0.0699745, 0.0679689, 0.0625552, 0.0988952, 0.0542736, 0.0958791, 0.0682755, 0.0462186, 0.0901246, 0.0898356, 0.0890333, 0.0596394, 0.113123, 0.0849943, 0.0510523, 0.113401, 0.0861039, 0.0988153, 0.122349, 0.0737705, 0.0878434, 0.0718018, 0.118616, 0.105899, 0.102569, 0.0586889, 0.0579227, 0.155861, 0.0506715, 0.0971508, 0.0925723, 0.0951564, 0.122718, 0.0663138, 0.0889045, 0.122181, 0.120232, 0.0790748, 0.106856, 0.111046, 0.118675, 0.0916036, 0.126539, 0.108778, 0.0980518, 0.0751042, 0.084661, 0.0781352, 0.122015, 0.149425, 0.0779002, 0.0618021, 0.106909, 0.071077, 0.0853253, 0.0542085, 0.116778, 0.0941546, 0.127515, 0.121846, 0.13123, 0.105006, 0.157523, 0.118139, 0.126362, 0.148278, 0.158904, 0.156463, 
sqrt; 1e-05; 0.0925723, 0.0542085, 0.056327, 0.0626432, 0.0931277, 0.0958791, 0.0834491, 0.0980518, 0.0733753, 0.084661, 0.0874603, 0.0955797, 0.0689217, 0.0971508, 0.0980518, 0.0790748, 0.0988952, 0.0775039, 0.118675, 0.0737705, 0.0663138, 0.120869, 0.125908, 0.0954001, 0.0579227, 0.0625552, 0.121846, 0.113401, 0.111046, 0.122181, 0.0889045, 0.0751852, 0.0853253, 0.109092, 0.0871329, 0.0462186, 0.0846143, 0.0898356, 0.0988153, 0.062886, 0.126539, 0.0657308, 0.071077, 0.113123, 0.0641055, 0.082517, 0.117048, 0.0542736, 0.0818925, 0.0682755, 0.0901246, 0.0779002, 0.0618021, 0.0933024, 0.118616, 0.118139, 0.102569, 0.0781352, 0.0972977, 0.105006, 0.12694, 0.0916036, 0.0525426, 0.158904, 0.108778, 0.0651099, 0.122015, 0.0683342, 0.0510523, 0.0890333, 0.105899, 0.0910268, 0.0506715, 0.0596394, 0.0952074, 0.113974, 0.0849943, 0.0586889, 0.116778, 0.126362, 0.157523, 0.155861, 0.0718018, 0.149425, 0.106856, 0.0699745, 0.106909, 0.0861039, 0.0951564, 0.0751042, 0.0679689, 0.120232, 0.122718, 0.127515, 0.13123, 0.148278, 0.0878434, 0.122349, 0.156463, 0.0941546, 
Normal; 2.15443e-05; 0.0506715, 0.111046, 0.0958791, 0.0657308, 0.0972977, 0.0525426, 0.0579227, 0.0980518, 0.056327, 0.122181, 0.113974, 0.0952074, 0.0954001, 0.109092, 0.0542736, 0.0933024, 0.125908, 0.0596394, 0.062886, 0.117048, 0.0925723, 0.082517, 0.0834491, 0.0988952, 0.0682755, 0.105899, 0.106717, 0.0775039, 0.0737705, 0.0699745, 0.0951564, 0.0689217, 0.0625552, 0.0462186, 0.118675, 0.0980518, 0.0586889, 0.0733753, 0.0663138, 0.0641055, 0.120869, 0.113123, 0.0790748, 0.0931277, 0.113401, 0.0626432, 0.106856, 0.0618021, 0.0878434, 0.084661, 0.0910268, 0.0988153, 0.0901246, 0.118616, 0.0895438, 0.102569, 0.0683342, 0.0916036, 0.0510523, 0.0890333, 0.0751852, 0.126539, 0.126362, 0.122349, 0.0971508, 0.0889045, 0.120232, 0.0853253, 0.0955797, 0.0651099, 0.071077, 0.0849943, 0.0674557, 0.122015, 0.0679689, 0.155861, 0.118139, 0.0818925, 0.0846143, 0.158904, 0.0871329, 0.12694, 0.127515, 0.122718, 0.157523, 0.0773156, 0.116778, 0.0861039, 0.0898356, 0.108778, 0.106909, 0.149425, 0.0718018, 0.0779002, 0.0941546, 0.0542085, 0.121846, 0.148278, 0.13123, 0.156463, 
sq; 2.15443e-05; 0.0958791, 0.113974, 0.0737705, 0.117048, 0.0506715, 0.109092, 0.0955797, 0.0980518, 0.082517, 0.0980518, 0.12694, 0.0988952, 0.0596394, 0.0683342, 0.0952074, 0.0846143, 0.0954001, 0.122181, 0.0751852, 0.0971508, 0.106717, 0.0895438, 0.0910268, 0.0790748, 0.0510523, 0.0951564, 0.084661, 0.0699745, 0.056327, 0.0542736, 0.062886, 0.0916036, 0.111046, 0.0625552, 0.0775039, 0.0663138, 0.071077, 0.0733753, 0.106856, 0.0834491, 0.0679689, 0.0901246, 0.0925723, 0.120869, 0.0651099, 0.0779002, 0.0933024, 0.0871329, 0.0525426, 0.118616, 0.118675, 0.0618021, 0.125908, 0.0849943, 0.0682755, 0.0931277, 0.108778, 0.0462186, 0.0579227, 0.0972977, 0.0853253, 0.0657308, 0.0689217, 0.0586889, 0.122349, 0.122015, 0.0542085, 0.0898356, 0.113123, 0.126539, 0.127515, 0.0818925, 0.126362, 0.0641055, 0.113401, 0.106909, 0.121846, 0.102569, 0.149425, 0.0988153, 0.122718, 0.155861, 0.158904, 0.0674557, 0.157523, 0.0861039, 0.116778, 0.0718018, 0.0626432, 0.0941546, 0.0889045, 0.148278, 0.0878434, 0.105899, 0.0890333, 0.0773156, 0.13123, 0.118139, 0.120232, 0.156463, 
sqrt; 2.15443e-05; 0.0579227, 0.0834491, 0.0980518, 0.0525426, 0.0641055, 0.0586889, 0.0737705, 0.117048, 0.056327, 0.0951564, 0.0958791, 0.0901246, 0.0952074, 0.0596394, 0.0955797, 0.0542736, 0.106717, 0.0971508, 0.0510523, 0.0689217, 0.0916036, 0.118675, 0.0849943, 0.0751852, 0.0779002, 0.0871329, 0.0988952, 0.12694, 0.0674557, 0.071077, 0.0462186, 0.084661, 0.0972977, 0.0889045, 0.109092, 0.108778, 0.0933024, 0.0733753, 0.113974, 0.0682755, 0.122015, 0.0625552, 0.062886, 0.0651099, 0.102569, 0.105899, 0.120869, 0.0626432, 0.122181, 0.0618021, 0.0980518, 0.0954001, 0.106856, 0.0925723, 0.106909, 0.0790748, 0.0657308, 0.0890333, 0.0775039, 0.0861039, 0.0683342, 0.121846, 0.0988153, 0.0818925, 0.0846143, 0.0910268, 0.082517, 0.0898356, 0.113401, 0.0718018, 0.155861, 0.0931277, 0.122718, 0.0663138, 0.0699745, 0.120232, 0.116778, 0.125908, 0.0853253, 0.158904, 0.122349, 0.0895438, 0.113123, 0.111046, 0.0878434, 0.126362, 0.0679689, 0.127515, 0.148278, 0.118616, 0.149425, 0.0542085, 0.118139, 0.0773156, 0.0506715, 0.126539, 0.0941546, 0.13123, 0.157523, 0.156463, 
Normal; 4.64159e-05; 0.103179, 0.0618676, 0.0682755, 0.0579227, 0.122181, 0.0952074, 0.0625552, 0.0751852, 0.0988952, 0.0737705, 0.117048, 0.0916036, 0.084661, 0.0506715, 0.118675, 0.0972977, 0.0898356, 0.0542736, 0.0462186, 0.0988153, 0.113401, 0.0510523, 0.109092, 0.0846143, 0.0980518, 0.107747, 0.071077, 0.0954001, 0.056327, 0.0818925, 0.0834491, 0.108778, 0.0931277, 0.0790748, 0.0971508, 0.0925723, 0.120869, 0.0699745, 0.121846, 0.062886, 0.0951564, 0.0626432, 0.120232, 0.12694, 0.0641055, 0.113974, 0.0933024, 0.122349, 0.0657308, 0.115336, 0.0520649, 0.0525426, 0.111046, 0.0901246, 0.113123, 0.0618021, 0.0890333, 0.0683342, 0.0933087, 0.0872707, 0.157523, 0.106856, 0.120261, 0.125908, 0.0895438, 0.0910268, 0.0733753, 0.0679689, 0.0871329, 0.0773156, 0.118139, 0.106909, 0.0689217, 0.0651099, 0.0861039, 0.105899, 0.0941546, 0.126539, 0.0775039, 0.118616, 0.0718018, 0.0839209, 0.0853253, 0.122718, 0.0542085, 0.126362, 0.116778, 0.0878434, 0.0663138, 0.158904, 0.0849943, 0.0674557, 0.149425, 0.0779002, 0.13123, 0.103179, 0.115063, 0.155861, 0.127515, 0.148278, 
sq; 4.64159e-05; 0.0952074, 0.0988952, 0.0506715, 0.0579227, 0.0542736, 0.109092, 0.0954001, 0.111046, 0.113123, 0.0834491, 0.115336, 0.0737705, 0.0871329, 0.0699745, 0.0626432, 0.120869, 0.0462186, 0.0890333, 0.0980518, 0.0933087, 0.0951564, 0.0818925, 0.113401, 0.0846143, 0.0651099, 0.118675, 0.062886, 0.0525426, 0.122181, 0.117048, 0.0972977, 0.0542085, 0.0520649, 0.084661, 0.0683342, 0.0933024, 0.0689217, 0.0971508, 0.0925723, 0.0679689, 0.0839209, 0.121846, 0.0931277, 0.0625552, 0.106856, 0.107747, 0.0510523, 0.0910268, 0.0751852, 0.125908, 0.0790748, 0.071077, 0.126362, 0.0641055, 0.118139, 0.0878434, 0.0663138, 0.120261, 0.0718018, 0.0988153, 0.0657308, 0.056327, 0.157523, 0.149425, 0.0773156, 0.126539, 0.0898356, 0.0901246, 0.0895438, 0.113974, 0.103179, 0.120232, 0.0618676, 0.0733753, 0.0775039, 0.0916036, 0.106909, 0.0682755, 0.13123, 0.127515, 0.105899, 0.0872707, 0.122349, 0.108778, 0.0618021, 0.0674557, 0.12694, 0.0849943, 0.118616, 0.103179, 0.148278, 0.0779002, 0.122718, 0.155861, 0.0853253, 0.0861039, 0.115063, 0.158904, 0.116778, 0.0941546, 
sqrt; 4.64159e-05; 0.0506715, 0.0683342, 0.125908, 0.107747, 0.0657308, 0.0988952, 0.0925723, 0.0779002, 0.0890333, 0.0980518, 0.084661, 0.062886, 0.0988153, 0.117048, 0.0871329, 0.103179, 0.0679689, 0.0775039, 0.0898356, 0.0626432, 0.0579227, 0.158904, 0.0733753, 0.0525426, 0.115336, 0.126362, 0.0462186, 0.056327, 0.0839209, 0.071077, 0.0853253, 0.0751852, 0.0849943, 0.0834491, 0.109092, 0.0542085, 0.0895438, 0.0520649, 0.122181, 0.108778, 0.118616, 0.0972977, 0.0861039, 0.157523, 0.0818925, 0.0951564, 0.0933024, 0.121846, 0.0718018, 0.0699745, 0.0737705, 0.127515, 0.0618021, 0.0790748, 0.0674557, 0.113974, 0.0952074, 0.0954001, 0.0625552, 0.103179, 0.0682755, 0.0878434, 0.0618676, 0.0916036, 0.0510523, 0.106856, 0.0971508, 0.0641055, 0.111046, 0.105899, 0.120869, 0.0651099, 0.0901246, 0.118675, 0.0663138, 0.122349, 0.0846143, 0.0689217, 0.0910268, 0.0931277, 0.113401, 0.0933087, 0.0872707, 0.120232, 0.12694, 0.118139, 0.0542736, 0.126539, 0.13123, 0.113123, 0.116778, 0.155861, 0.120261, 0.149425, 0.148278, 0.0773156, 0.122718, 0.106909, 0.115063, 0.0941546, 
Normal; 0.0001; 0.0980518, 0.0699745, 0.120869, 0.0941629, 0.0626432, 0.0657308, 0.0733753, 0.0511021, 0.0980518, 0.0641055, 0.113123, 0.0890333, 0.062886, 0.0933024, 0.157523, 0.0954001, 0.0525426, 0.0834491, 0.121846, 0.0931277, 0.118675, 0.084661, 0.0618021, 0.0852742, 0.118851, 0.0951564, 0.0910268, 0.0846143, 0.109092, 0.125908, 0.0596394, 0.0952074, 0.0737705, 0.0683342, 0.113401, 0.117048, 0.111046, 0.0679689, 0.0818925, 0.0751852, 0.125381, 0.0992562, 0.105899, 0.0870429, 0.0901246, 0.0952262, 0.11102, 0.113974, 0.0933087, 0.122181, 0.0988153, 0.0718018, 0.0861039, 0.0542085, 0.0462186, 0.0506715, 0.0972977, 0.120232, 0.115336, 0.0839209, 0.0765363, 0.118616, 0.0849943, 0.0740872, 0.0682755, 0.0542736, 0.0878434, 0.0925723, 0.158904, 0.0853253, 0.118139, 0.060902, 0.117748, 0.0866911, 0.0988952, 0.106909, 0.0674557, 0.108778, 0.0618676, 0.107747, 0.0775039, 0.156303, 0.106856, 0.149425, 0.0986005, 0.0894971, 0.0663138, 0.0586117, 0.069186, 0.126539, 0.13123, 0.142174, 0.0872707, 0.109567, 0.127515, 0.155077, 0.133946, 0.115063, 0.148278, 0.158904, 
